UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_RUBY_GEM,2.8,4.4,887028,2965030,2560372,160980136,0.13,1.6,57.1,3.34
1638903006,ROUGH_RUBY_GEM,3.0,4.3,887068,3220275,2560372,161008224,0.14,1.3,43.3,3.63
1638903006,ROUGH_RUBY_GEM,3.0,4.3,887068,3220275,2560372,161008224,0.14,1.3,43.3,3.63
1638903057,ROUGH_RUBY_GEM,3.0,4.3,887068,3218976,2560372,161009523,0.14,1.3,43.3,3.63
1638903086,ROUGH_RUBY_GEM,3.0,4.3,887068,3211811,2560372,161016688,0.14,1.3,43.3,3.62
1638903086,ROUGH_RUBY_GEM,3.0,4.3,887068,3211811,2560372,161016688,0.14,1.3,43.3,3.62
1638903086,ROUGH_RUBY_GEM,3.0,4.3,887068,3211811,2560372,161016688,0.14,1.3,43.3,3.62
1638903086,ROUGH_RUBY_GEM,3.0,4.3,887068,3211811,2560372,161016688,0.14,1.3,43.3,3.62
1638903226,ROUGH_RUBY_GEM,3.0,4.4,886966,3172560,2560474,161055939,0.14,1.4,46.7,3.58
1638903233,ROUGH_RUBY_GEM,3.0,4.4,886966,3172560,2560474,161055939,0.14,1.4,46.7,3.58
1638903240,ROUGH_RUBY_GEM,3.0,4.4,886966,3169669,2560474,161058830,0.14,1.4,46.7,3.57
1638903248,ROUGH_RUBY_GEM,3.0,4.4,886966,3169669,2560474,161058830,0.14,1.4,46.7,3.57
1638903855,ROUGH_RUBY_GEM,3.0,4.5,886815,3061122,2560714,161268719,0.13,1.5,50.0,3.45
1638904100,ROUGH_RUBY_GEM,3.0,4.4,886951,2992114,2560906,161337727,0.13,1.4,46.7,3.37
1638904100,ROUGH_RUBY_GEM,3.0,4.4,886951,2992114,2560906,161337727,0.13,1.4,46.7,3.37
1638904100,ROUGH_RUBY_GEM,3.0,4.4,886951,2992114,2560906,161337727,0.13,1.4,46.7,3.37
1638904189,ROUGH_RUBY_GEM,2.6,4.3,892326,2913628,2560907,161424213,0.13,1.7,65.4,3.27
1638904196,ROUGH_RUBY_GEM,2.6,4.3,892326,2913628,2560907,161424213,0.13,1.7,65.4,3.27
1638905497,ROUGH_RUBY_GEM,2.5,4.1,894705,2781426,2188193,160838003,0.12,1.6,64.0,3.11
1638905504,ROUGH_RUBY_GEM,2.5,4.1,894705,2781426,2188193,160838003,0.12,1.6,64.0,3.11
1638906506,ROUGH_RUBY_GEM,2.8,4.1,973158,3695358,2188610,161205206,0.16,1.3,46.400000000000006,3.8
1638906538,ROUGH_RUBY_GEM,2.9,4.1,973158,3693406,2188610,161207158,0.16,1.2,41.4,3.8
1638906598,ROUGH_RUBY_GEM,2.9,4.1,973158,3733883,2188610,161236681,0.16,1.2,41.4,3.84
1638906612,ROUGH_RUBY_GEM,2.9,4.1,973158,3732166,2188610,161238398,0.16,1.2,41.4,3.84
1638906620,ROUGH_RUBY_GEM,2.9,4.1,973158,3732166,2188610,161238398,0.16,1.2,41.4,3.84
1638906646,ROUGH_RUBY_GEM,2.9,4.1,973158,3729196,2188610,161241368,0.16,1.2,41.4,3.83
