UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,ROUGH_SAPPHIRE_GEM,3.0,3.9,214302,4218467,1733494,235079046,0.13,0.9,30.0,19.68
1638903006,ROUGH_SAPPHIRE_GEM,3.0,3.8,214360,4195095,1733494,235102418,0.12,0.8,26.700000000000003,19.57
1638903006,ROUGH_SAPPHIRE_GEM,3.0,3.8,214360,4195095,1733494,235102418,0.12,0.8,26.700000000000003,19.57
1638903057,ROUGH_SAPPHIRE_GEM,3.1,3.8,214360,4337011,1733494,235102724,0.13,0.7,22.6,20.23
1638903086,ROUGH_SAPPHIRE_GEM,3.1,3.8,214360,4406585,1733494,235104261,0.13,0.7,22.6,20.56
1638903086,ROUGH_SAPPHIRE_GEM,3.1,3.8,214360,4406585,1733494,235104261,0.13,0.7,22.6,20.56
1638903086,ROUGH_SAPPHIRE_GEM,3.1,3.8,214360,4406585,1733494,235104261,0.13,0.7,22.6,20.56
1638903086,ROUGH_SAPPHIRE_GEM,3.1,3.8,214360,4406585,1733494,235104261,0.13,0.7,22.6,20.56
1638903226,ROUGH_SAPPHIRE_GEM,3.1,4.0,214231,4278303,1733623,235232543,0.13,0.9,29.0,19.97
1638903233,ROUGH_SAPPHIRE_GEM,3.1,4.0,214231,4278303,1733623,235232543,0.13,0.9,29.0,19.97
1638903240,ROUGH_SAPPHIRE_GEM,3.1,4.0,214231,4274387,1733623,235236459,0.13,0.9,29.0,19.95
1638903248,ROUGH_SAPPHIRE_GEM,3.1,4.0,214231,4274387,1733623,235236459,0.13,0.9,29.0,19.95
1638903855,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,4054779,1733624,235527747,0.12,0.9,30.0,18.91
1638904100,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,3974794,1733624,235607732,0.12,0.9,30.0,18.54
1638904100,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,3974794,1733624,235607732,0.12,0.9,30.0,18.54
1638904100,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,3974794,1733624,235607732,0.12,0.9,30.0,18.54
1638904189,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,3963653,1733624,235618873,0.12,0.9,30.0,18.49
1638904196,ROUGH_SAPPHIRE_GEM,3.0,3.9,214382,3963653,1733624,235618873,0.12,0.9,30.0,18.49
1638905497,ROUGH_SAPPHIRE_GEM,3.0,3.9,214381,4120359,1733625,236170167,0.12,0.9,30.0,19.22
1638905504,ROUGH_SAPPHIRE_GEM,3.0,3.9,214381,4120359,1733625,236170167,0.12,0.9,30.0,19.22
