UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SHARK_BAIT,12.3,19.2,893183,1876801,6063415,3896000,3.37,6.9,56.10000000000001,2.1
1638903006,SHARK_BAIT,12.4,19.0,895228,1877825,6063415,3896000,3.37,6.6,53.2,2.1
1638903006,SHARK_BAIT,12.4,19.0,895228,1877825,6063415,3896000,3.37,6.6,53.2,2.1
1638903057,SHARK_BAIT,12.4,19.0,894601,1877825,6063543,3896000,3.37,6.6,53.2,2.1
1638903086,SHARK_BAIT,12.4,19.0,894601,1876875,6063543,3896950,3.37,6.6,53.2,2.1
1638903086,SHARK_BAIT,12.4,19.0,894601,1876875,6063543,3896950,3.37,6.6,53.2,2.1
1638903086,SHARK_BAIT,12.4,19.0,894601,1876875,6063543,3896950,3.37,6.6,53.2,2.1
1638903086,SHARK_BAIT,12.4,19.0,894601,1876875,6063543,3896950,3.37,6.6,53.2,2.1
1638903226,SHARK_BAIT,12.5,19.0,894601,1876939,6063543,3896950,3.37,6.5,52.0,2.1
1638903233,SHARK_BAIT,12.5,19.0,894601,1876939,6063543,3896950,3.37,6.5,52.0,2.1
1638903240,SHARK_BAIT,12.3,19.0,894601,1876556,6063543,3897333,3.37,6.7,54.50000000000001,2.1
1638903248,SHARK_BAIT,12.3,19.0,894601,1876556,6063543,3897333,3.37,6.7,54.50000000000001,2.1
1638903855,SHARK_BAIT,12.3,19.4,892361,2040979,6066807,3898610,3.66,7.1,57.7,2.29
1638904100,SHARK_BAIT,12.3,19.4,892361,2040800,6066807,3898789,3.66,7.1,57.7,2.29
1638904100,SHARK_BAIT,12.3,19.4,892361,2040800,6066807,3898789,3.66,7.1,57.7,2.29
1638904100,SHARK_BAIT,12.3,19.4,892361,2040800,6066807,3898789,3.66,7.1,57.7,2.29
1638904189,SHARK_BAIT,12.3,19.3,892494,2040800,6066807,3898789,3.66,7.0,56.89999999999999,2.29
1638904196,SHARK_BAIT,12.3,19.3,892494,2040800,6066807,3898789,3.66,7.0,56.89999999999999,2.29
1638905497,SHARK_BAIT,12.4,19.3,892371,2110718,6067959,3898871,3.79,6.9,55.60000000000001,2.37
1638905504,SHARK_BAIT,12.4,19.3,892371,2110718,6067959,3898871,3.79,6.9,55.60000000000001,2.37
1638906506,SHARK_BAIT,12.6,19.3,893981,2264736,6068663,3900553,4.06,6.7,53.2,2.53
1638906538,SHARK_BAIT,12.7,19.3,893981,2264736,6068663,3900553,4.06,6.6,52.0,2.53
1638906598,SHARK_BAIT,12.6,19.2,893203,2264031,6068855,3901258,4.06,6.6,52.400000000000006,2.53
1638906612,SHARK_BAIT,12.6,19.2,893789,2264031,6068855,3901258,4.06,6.6,52.400000000000006,2.53
1638906620,SHARK_BAIT,12.6,19.2,893789,2264031,6068855,3901258,4.06,6.6,52.400000000000006,2.53
1638906646,SHARK_BAIT,12.6,19.2,893789,2263967,6068855,3901322,4.06,6.6,52.400000000000006,2.53
1638906653,SHARK_BAIT,12.6,19.2,893789,2263967,6068855,3901322,4.06,6.6,52.400000000000006,2.53
1638906660,SHARK_BAIT,12.6,19.2,893789,2263967,6068855,3901322,4.06,6.6,52.400000000000006,2.53
1638906889,SHARK_BAIT,12.6,19.2,893789,2263180,6068855,3902173,4.06,6.6,52.400000000000006,2.53
1638906898,SHARK_BAIT,12.6,19.2,893789,2262526,6068855,3902827,4.06,6.6,52.400000000000006,2.53
1638906939,SHARK_BAIT,12.6,19.2,893789,2262526,6068855,3902827,4.06,6.6,52.400000000000006,2.53
1638906980,SHARK_BAIT,12.6,19.1,893725,2262526,6068919,3902827,4.06,6.5,51.6,2.53
1638907080,SHARK_BAIT,12.6,18.9,898525,2262446,6068919,3902907,4.06,6.3,50.0,2.52
1638907129,SHARK_BAIT,12.6,18.6,903325,2262446,6068919,3902907,4.06,6.0,47.6,2.5
1638907209,SHARK_BAIT,12.6,18.6,904295,2262446,6069175,3902907,4.06,6.0,47.6,2.5
1638907229,SHARK_BAIT,12.5,18.6,904295,2260988,6069175,3904365,4.05,6.1,48.8,2.5
1638907265,SHARK_BAIT,12.5,18.6,904561,2260988,6069175,3904365,4.05,6.1,48.8,2.5
