UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SLIME_BALL,9.2,11.0,4587225,3304199,26002727,36352956,0.64,1.8,19.6,-1.39
1638903006,SLIME_BALL,9.2,11.0,4585989,3303836,26004535,36353511,0.64,1.8,19.6,-1.39
1638903006,SLIME_BALL,9.2,11.0,4585989,3303836,26004535,36353511,0.64,1.8,19.6,-1.39
1638903057,SLIME_BALL,9.2,11.0,4585924,3303464,26004600,36353883,0.64,1.8,19.6,-1.39
1638903086,SLIME_BALL,9.2,11.0,4585476,3302125,26005048,36355222,0.64,1.8,19.6,-1.39
1638903086,SLIME_BALL,9.2,11.0,4585476,3302125,26005048,36355222,0.64,1.8,19.6,-1.39
1638903086,SLIME_BALL,9.2,11.0,4585476,3302125,26005048,36355222,0.64,1.8,19.6,-1.39
1638903086,SLIME_BALL,9.2,11.0,4585476,3302125,26005048,36355222,0.64,1.8,19.6,-1.39
1638903226,SLIME_BALL,9.2,11.0,4582724,3300580,26007800,36356767,0.64,1.8,19.6,-1.39
1638903233,SLIME_BALL,9.2,11.0,4582724,3300580,26007800,36356767,0.64,1.8,19.6,-1.39
1638903240,SLIME_BALL,9.2,11.0,4582724,3300580,26007800,36356767,0.64,1.8,19.6,-1.39
1638903248,SLIME_BALL,9.2,11.0,4582724,3300580,26007800,36356767,0.64,1.8,19.6,-1.39
1638903855,SLIME_BALL,9.2,13.0,4558788,3294548,26031949,36362799,0.63,3.8,41.3,-1.38
1638904100,SLIME_BALL,9.2,13.9,4509765,3291726,26068189,36365621,0.63,4.7,51.1,-1.37
1638904100,SLIME_BALL,9.2,13.9,4509765,3291726,26068189,36365621,0.63,4.7,51.1,-1.37
1638904100,SLIME_BALL,9.2,13.9,4509765,3291726,26068189,36365621,0.63,4.7,51.1,-1.37
1638904189,SLIME_BALL,9.2,13.8,4497730,3291251,26085597,36366679,0.63,4.6,50.0,-1.37
1638904196,SLIME_BALL,9.2,13.8,4497730,3291251,26085597,36366679,0.63,4.6,50.0,-1.37
1638905497,SLIME_BALL,8.8,14.8,4424162,3050643,25916570,36111393,0.59,6.0,68.2,-1.45
1638905504,SLIME_BALL,8.8,14.8,4424162,3050643,25916570,36111393,0.59,6.0,68.2,-1.45
1638906506,SLIME_BALL,9.0,14.9,4331454,3062842,26014696,36120218,0.59,5.9,65.60000000000001,-1.41
1638906538,SLIME_BALL,9.0,14.9,4329661,3062015,26016489,36121045,0.59,5.9,65.60000000000001,-1.41
1638906598,SLIME_BALL,9.0,14.9,4329525,3061676,26016625,36121384,0.59,5.9,65.60000000000001,-1.41
1638906612,SLIME_BALL,9.0,14.9,4329464,3061671,26016686,36121389,0.59,5.9,65.60000000000001,-1.41
1638906620,SLIME_BALL,9.0,14.9,4329464,3061671,26016686,36121389,0.59,5.9,65.60000000000001,-1.41
1638906646,SLIME_BALL,9.0,14.9,4329464,3061657,26016686,36121403,0.59,5.9,65.60000000000001,-1.41
1638906653,SLIME_BALL,9.0,14.9,4328312,3061657,26017838,36121403,0.59,5.9,65.60000000000001,-1.41
1638906660,SLIME_BALL,9.0,14.9,4328056,3061657,26021038,36121403,0.59,5.9,65.60000000000001,-1.41
1638906889,SLIME_BALL,9.1,14.7,4390652,3061450,26029615,36123658,0.59,5.6,61.5,-1.43
1638906898,SLIME_BALL,9.1,14.7,4390652,3061450,26029615,36123658,0.59,5.6,61.5,-1.43
1638906939,SLIME_BALL,9.1,14.8,4385212,3061161,26035055,36123947,0.59,5.7,62.6,-1.43
1638906980,SLIME_BALL,9.0,14.8,4385211,3060403,26035056,36124705,0.59,5.8,64.4,-1.43
1638907080,SLIME_BALL,9.1,14.8,4385211,3061413,26035056,36124767,0.59,5.7,62.6,-1.43
1638907129,SLIME_BALL,9.1,14.8,4385211,3060747,26035056,36125433,0.59,5.7,62.6,-1.43
1638907209,SLIME_BALL,9.0,14.8,4385211,3060487,26035056,36125693,0.59,5.8,64.4,-1.43
1638907229,SLIME_BALL,9.0,14.8,4379515,3060151,26040752,36126029,0.59,5.8,64.4,-1.43
1638907265,SLIME_BALL,9.0,14.7,4380283,3059900,26041904,36126280,0.59,5.7,63.3,-1.43
1638907280,SLIME_BALL,9.0,14.6,4381435,3059876,26041904,36126304,0.59,5.6,62.2,-1.43
1638907311,SLIME_BALL,9.0,14.6,4387406,3059833,26042800,36126347,0.59,5.6,62.2,-1.43
1638907322,SLIME_BALL,9.0,14.6,4387406,3059648,26042800,36126532,0.59,5.6,62.2,-1.43
1638907346,SLIME_BALL,8.8,14.6,4387406,3059333,26042800,36126847,0.59,5.8,65.9,-1.43
1638907359,SLIME_BALL,8.8,14.6,4387406,3059333,26042800,36126847,0.59,5.8,65.9,-1.43
1638907396,SLIME_BALL,8.9,14.4,4407406,3048773,26042800,36147407,0.59,5.5,61.8,-1.45
1638907404,SLIME_BALL,8.9,14.4,4407406,3048773,26042800,36147407,0.59,5.5,61.8,-1.45
1638907415,SLIME_BALL,8.9,14.3,4408430,3048710,26042800,36147470,0.59,5.4,60.7,-1.45
1638907521,SLIME_BALL,8.9,14.3,4407534,3046703,26043696,36149477,0.59,5.4,60.7,-1.45
1638907532,SLIME_BALL,8.9,14.3,4407534,3046703,26043696,36149477,0.59,5.4,60.7,-1.45
1638907545,SLIME_BALL,8.9,14.3,4407534,3046703,26043696,36149477,0.59,5.4,60.7,-1.45
1638907557,SLIME_BALL,8.9,14.3,4407534,3046703,26043696,36149477,0.59,5.4,60.7,-1.45
1638907570,SLIME_BALL,8.9,14.3,4407534,3046664,26043696,36149516,0.59,5.4,60.7,-1.45
1638907607,SLIME_BALL,8.9,14.3,4412014,3046660,26043696,36149520,0.59,5.4,60.7,-1.45
1638907625,SLIME_BALL,8.9,14.3,4414254,3046077,26043696,36150103,0.59,5.4,60.7,-1.45
1638907672,SLIME_BALL,8.9,14.3,4414251,3045465,26043699,36150715,0.59,5.4,60.699999999999996,-1.45
