UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SOULFLOW,20735.3,22652.0,35060,120888,346126,227480,3.72,1916.7,9.2,3.45
1638903006,SOULFLOW,20735.3,22652.0,35060,120888,346126,227480,3.72,1916.7,9.2,3.45
1638903006,SOULFLOW,20735.3,22652.0,35060,120888,346126,227480,3.72,1916.7,9.2,3.45
1638903057,SOULFLOW,20735.3,22652.0,35060,120882,346126,227486,3.72,1916.7,9.2,3.45
1638903086,SOULFLOW,20735.3,22652.0,35059,120882,346127,227486,3.72,1916.7,9.2,3.45
1638903086,SOULFLOW,20735.3,22652.0,35059,120882,346127,227486,3.72,1916.7,9.2,3.45
1638903086,SOULFLOW,20735.3,22652.0,35059,120882,346127,227486,3.72,1916.7,9.2,3.45
1638903086,SOULFLOW,20735.3,22652.0,35059,120882,346127,227486,3.72,1916.7,9.2,3.45
1638903226,SOULFLOW,20735.3,22652.0,35058,120946,346128,227486,3.72,1916.7,9.2,3.45
1638903233,SOULFLOW,20735.3,22652.0,35058,120946,346128,227486,3.72,1916.7,9.2,3.45
1638903240,SOULFLOW,20735.3,22652.0,35058,120940,346128,227492,3.72,1916.7,9.2,3.45
1638903248,SOULFLOW,20735.3,22652.0,35058,120940,346128,227492,3.72,1916.7,9.2,3.45
1638903855,SOULFLOW,20735.4,22652.2,35905,120788,346311,227740,3.71,1916.8,9.2,3.36
1638904100,SOULFLOW,20735.3,22652.3,35713,120146,346503,228542,3.68,1917.0,9.2,3.36
1638904100,SOULFLOW,20735.3,22652.3,35713,120146,346503,228542,3.68,1917.0,9.2,3.36
1638904100,SOULFLOW,20735.3,22652.3,35713,120146,346503,228542,3.68,1917.0,9.2,3.36
1638904189,SOULFLOW,20735.3,22652.3,35713,120015,346503,228673,3.67,1917.0,9.2,3.36
1638904196,SOULFLOW,20735.3,22652.3,35713,120015,346503,228673,3.67,1917.0,9.2,3.36
1638905497,SOULFLOW,20735.4,22460.4,36580,119834,346917,229354,3.66,1725.0,8.3,3.28
1638905504,SOULFLOW,20735.4,22460.4,36580,119834,346917,229354,3.66,1725.0,8.3,3.28
