UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SOUL_STRING,1821.2,2826.4,32460,166058,130381,153326,7.58,1005.2,55.2,5.12
1638903006,SOUL_STRING,1821.2,2826.4,32459,166058,130382,153326,7.58,1005.2,55.2,5.12
1638903006,SOUL_STRING,1821.2,2826.4,32459,166058,130382,153326,7.58,1005.2,55.2,5.12
1638903057,SOUL_STRING,1821.2,2826.4,32430,166058,130411,153326,7.58,1005.2,55.2,5.12
1638903086,SOUL_STRING,1821.2,2826.4,32430,166058,130411,153326,7.58,1005.2,55.2,5.12
1638903086,SOUL_STRING,1821.2,2826.4,32430,166058,130411,153326,7.58,1005.2,55.2,5.12
1638903086,SOUL_STRING,1821.2,2826.4,32430,166058,130411,153326,7.58,1005.2,55.2,5.12
1638903086,SOUL_STRING,1821.2,2826.4,32430,166058,130411,153326,7.58,1005.2,55.2,5.12
1638903226,SOUL_STRING,1821.1,2826.3,32448,166000,130411,153362,7.58,1005.2,55.2,5.12
1638903233,SOUL_STRING,1821.1,2826.3,32448,166000,130411,153362,7.58,1005.2,55.2,5.12
1638903240,SOUL_STRING,1821.1,2826.3,32448,166000,130411,153362,7.58,1005.2,55.2,5.12
1638903248,SOUL_STRING,1821.1,2826.3,32448,166000,130411,153362,7.58,1005.2,55.2,5.12
1638903855,SOUL_STRING,1821.2,2826.2,30801,166944,130412,153442,7.62,1005.0,55.2,5.42
1638904100,SOUL_STRING,1821.2,2826.4,30609,166934,130604,153452,7.62,1005.2,55.2,5.45
1638904100,SOUL_STRING,1821.2,2826.4,30609,166934,130604,153452,7.62,1005.2,55.2,5.45
1638904100,SOUL_STRING,1821.2,2826.4,30609,166934,130604,153452,7.62,1005.2,55.2,5.45
1638904189,SOUL_STRING,1821.2,2826.3,31362,166934,130604,153452,7.62,1005.1,55.2,5.32
1638904196,SOUL_STRING,1821.2,2826.3,31362,166934,130604,153452,7.62,1005.1,55.2,5.32
1638905497,SOUL_STRING,1821.2,2826.3,31358,166564,130619,154846,7.53,1005.1,55.2,5.31
1638905504,SOUL_STRING,1821.2,2826.3,31358,166564,130619,154846,7.53,1005.1,55.2,5.31
1638906506,SOUL_STRING,1821.2,2826.0,31991,166433,130811,154977,7.52,1004.8,55.2,5.2
1638906538,SOUL_STRING,1821.2,2826.0,31991,166433,130811,154977,7.52,1004.8,55.2,5.2
1638906598,SOUL_STRING,1821.3,2826.0,31991,167438,130811,154996,7.56,1004.7,55.2,5.23
1638906612,SOUL_STRING,1821.3,2826.0,31991,167438,130811,154996,7.56,1004.7,55.2,5.23
1638906620,SOUL_STRING,1821.3,2826.0,31991,167438,130811,154996,7.56,1004.7,55.2,5.23
1638906646,SOUL_STRING,1821.2,2826.0,31991,167438,130811,154996,7.56,1004.8,55.2,5.23
1638906653,SOUL_STRING,1821.2,2826.0,31991,167438,130811,154996,7.56,1004.8,55.2,5.23
1638906660,SOUL_STRING,1821.2,2826.0,31991,167438,130811,154996,7.56,1004.8,55.2,5.23
1638906889,SOUL_STRING,1821.2,2826.0,32538,166387,130811,155023,7.51,1004.8,55.2,5.11
