UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SPIDER_EYE,5.4,10.0,475415,2616055,2180924,22516323,0.81,4.6,85.2,5.5
1638903006,SPIDER_EYE,5.4,10.0,475415,2614969,2180924,22517409,0.81,4.6,85.2,5.5
1638903006,SPIDER_EYE,5.4,10.0,475415,2614969,2180924,22517409,0.81,4.6,85.2,5.5
1638903057,SPIDER_EYE,5.4,10.0,474903,2614724,2181436,22517654,0.81,4.6,85.2,5.51
1638903086,SPIDER_EYE,5.4,10.0,474903,2614390,2181436,22517988,0.81,4.6,85.2,5.51
1638903086,SPIDER_EYE,5.4,10.0,474903,2614390,2181436,22517988,0.81,4.6,85.2,5.51
1638903086,SPIDER_EYE,5.4,10.0,474903,2614390,2181436,22517988,0.81,4.6,85.2,5.51
1638903086,SPIDER_EYE,5.4,10.0,474903,2614390,2181436,22517988,0.81,4.6,85.2,5.51
1638903226,SPIDER_EYE,5.4,9.9,475179,2608518,2181564,22523860,0.81,4.5,83.3,5.49
1638903233,SPIDER_EYE,5.4,9.9,475179,2608518,2181564,22523860,0.81,4.5,83.3,5.49
1638903240,SPIDER_EYE,5.4,9.9,475179,2608076,2181564,22524302,0.81,4.5,83.3,5.49
1638903248,SPIDER_EYE,5.4,9.9,475179,2608076,2181564,22524302,0.81,4.5,83.3,5.49
1638903855,SPIDER_EYE,5.4,10.0,472605,2613323,2184153,22539057,0.81,4.6,85.2,5.53
1638904100,SPIDER_EYE,5.4,10.0,472603,2610117,2184155,22542263,0.81,4.6,85.2,5.52
1638904100,SPIDER_EYE,5.4,10.0,472603,2610117,2184155,22542263,0.81,4.6,85.2,5.52
1638904100,SPIDER_EYE,5.4,10.0,472603,2610117,2184155,22542263,0.81,4.6,85.2,5.52
1638904189,SPIDER_EYE,5.4,10.0,472603,2609410,2184155,22543161,0.81,4.6,85.2,5.52
1638904196,SPIDER_EYE,5.4,10.0,472603,2609410,2184155,22543161,0.81,4.6,85.2,5.52
1638905497,SPIDER_EYE,5.4,9.8,473170,2569112,2185437,22583459,0.8,4.4,81.5,5.43
1638905504,SPIDER_EYE,5.4,9.8,473170,2569112,2185437,22583459,0.8,4.4,81.5,5.43
1638906506,SPIDER_EYE,5.3,10.0,458169,2535469,2200438,22617632,0.78,4.7,88.7,5.53
1638906538,SPIDER_EYE,5.3,10.0,458169,2535367,2200438,22617734,0.78,4.7,88.7,5.53
1638906598,SPIDER_EYE,5.4,10.0,458169,2554087,2200438,22619014,0.79,4.6,85.2,5.57
1638906612,SPIDER_EYE,5.4,10.0,458169,2554082,2200438,22619019,0.79,4.6,85.2,5.57
1638906620,SPIDER_EYE,5.4,10.0,458169,2554082,2200438,22619019,0.79,4.6,85.2,5.57
1638906646,SPIDER_EYE,5.4,10.0,458169,2552607,2200438,22620494,0.79,4.6,85.2,5.57
1638906653,SPIDER_EYE,5.4,10.0,458169,2552223,2200438,22620878,0.79,4.6,85.2,5.57
1638906660,SPIDER_EYE,5.4,10.0,458169,2551901,2200438,22621200,0.79,4.6,85.2,5.57
1638906889,SPIDER_EYE,5.5,9.8,458220,2595507,1994400,20320461,0.89,4.3,78.2,5.66
1638906898,SPIDER_EYE,5.5,9.8,458220,2595228,1994400,20320740,0.89,4.3,78.2,5.66
1638906939,SPIDER_EYE,5.7,9.8,458220,2642916,1994400,20323052,0.91,4.1,71.89999999999999,5.77
1638906980,SPIDER_EYE,5.7,9.7,459647,2692225,1994400,20323743,0.93,4.0,70.19999999999999,5.86
1638907080,SPIDER_EYE,5.7,9.6,466367,2687068,1994400,20328900,0.93,3.9,68.4,5.76
1638907129,SPIDER_EYE,5.7,9.5,466375,2686143,1994400,20329825,0.92,3.8,66.7,5.76
1638907209,SPIDER_EYE,5.7,9.5,470406,2682518,1994401,20333450,0.92,3.8,66.7,5.7
1638907229,SPIDER_EYE,5.7,9.5,470342,2680217,1994465,20335751,0.92,3.8,66.7,5.7
1638907265,SPIDER_EYE,5.7,9.5,470342,2679272,1994465,20336696,0.92,3.8,66.7,5.7
1638907280,SPIDER_EYE,5.7,9.5,470342,2679258,1994465,20336710,0.92,3.8,66.7,5.7
1638907311,SPIDER_EYE,5.7,9.5,470726,2677860,1994465,20338108,0.92,3.8,66.7,5.69
1638907322,SPIDER_EYE,5.7,9.5,470726,2677657,1994465,20338311,0.92,3.8,66.7,5.69
