UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SPIKED_BAIT,72.3,87.9,694200,910920,2500234,2803521,2.27,15.6,21.6,1.31
1638903006,SPIKED_BAIT,72.3,87.9,694200,910920,2500234,2803521,2.27,15.6,21.6,1.31
1638903006,SPIKED_BAIT,72.3,87.9,694200,910920,2500234,2803521,2.27,15.6,21.6,1.31
1638903057,SPIKED_BAIT,72.3,87.8,695192,908872,2500234,2805569,2.27,15.5,21.4,1.31
1638903086,SPIKED_BAIT,72.3,87.7,695896,908765,2500554,2805676,2.27,15.4,21.3,1.31
1638903086,SPIKED_BAIT,72.3,87.7,695896,908765,2500554,2805676,2.27,15.4,21.3,1.31
1638903086,SPIKED_BAIT,72.3,87.7,695896,908765,2500554,2805676,2.27,15.4,21.3,1.31
1638903086,SPIKED_BAIT,72.3,87.7,695896,908765,2500554,2805676,2.27,15.4,21.3,1.31
1638903226,SPIKED_BAIT,72.3,86.2,696518,908749,2500746,2805692,2.27,13.9,19.2,1.3
1638903233,SPIKED_BAIT,72.3,86.2,696518,908749,2500746,2805692,2.27,13.9,19.2,1.3
1638903240,SPIKED_BAIT,72.3,86.2,696518,908717,2500746,2805724,2.27,13.9,19.2,1.3
1638903248,SPIKED_BAIT,72.3,86.2,696518,908717,2500746,2805724,2.27,13.9,19.2,1.3
1638903855,SPIKED_BAIT,72.1,86.1,696751,901969,2501450,2807673,2.25,14.0,19.4,1.29
1638904100,SPIKED_BAIT,72.1,86.1,696623,900097,2501578,2809545,2.24,14.0,19.4,1.29
1638904100,SPIKED_BAIT,72.1,86.1,696623,900097,2501578,2809545,2.24,14.0,19.4,1.29
1638904100,SPIKED_BAIT,72.1,86.1,696623,900097,2501578,2809545,2.24,14.0,19.4,1.29
1638904189,SPIKED_BAIT,72.1,86.1,696623,898177,2501578,2811465,2.24,14.0,19.4,1.29
1638904196,SPIKED_BAIT,72.1,86.1,696623,898177,2501578,2811465,2.24,14.0,19.4,1.29
1638905497,SPIKED_BAIT,72.1,87.9,694679,870180,2504331,2839462,2.15,15.8,21.9,1.25
1638905504,SPIKED_BAIT,72.1,87.9,694679,870180,2504331,2839462,2.15,15.8,21.9,1.25
