UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SPONGE,44.3,57.3,321366,1645337,816712,9214794,1.25,13.0,29.3,5.12
1638903006,SPONGE,44.4,57.3,321366,1654880,816712,9215251,1.26,12.9,29.1,5.15
1638903006,SPONGE,44.4,57.3,321366,1654880,816712,9215251,1.26,12.9,29.1,5.15
1638903057,SPONGE,44.4,57.3,321366,1654488,816712,9215643,1.26,12.9,29.1,5.15
1638903086,SPONGE,44.4,57.3,321366,1654228,816712,9215903,1.26,12.9,29.1,5.15
1638903086,SPONGE,44.4,57.3,321366,1654228,816712,9215903,1.26,12.9,29.1,5.15
1638903086,SPONGE,44.4,57.3,321366,1654228,816712,9215903,1.26,12.9,29.1,5.15
1638903086,SPONGE,44.4,57.3,321366,1654228,816712,9215903,1.26,12.9,29.1,5.15
1638903226,SPONGE,44.4,57.3,321366,1653021,816712,9217110,1.26,12.9,29.1,5.14
1638903233,SPONGE,44.4,57.3,321366,1653021,816712,9217110,1.26,12.9,29.1,5.14
1638903240,SPONGE,44.4,57.3,321366,1652910,816712,9217221,1.26,12.9,29.1,5.14
1638903248,SPONGE,44.4,57.3,321366,1652910,816712,9217221,1.26,12.9,29.1,5.14
1638903855,SPONGE,44.6,57.3,320189,1639825,817889,9226226,1.24,12.7,28.5,5.12
1638904100,SPONGE,44.6,57.3,320125,1636595,817953,9229456,1.24,12.7,28.5,5.11
1638904100,SPONGE,44.6,57.3,320125,1636595,817953,9229456,1.24,12.7,28.5,5.11
1638904100,SPONGE,44.6,57.3,320125,1636595,817953,9229456,1.24,12.7,28.5,5.11
1638904189,SPONGE,44.8,57.3,320125,1679342,817953,9230109,1.27,12.5,27.9,5.25
1638904196,SPONGE,44.8,57.3,320125,1679342,817953,9230109,1.27,12.5,27.9,5.25
1638905497,SPONGE,44.7,57.2,320021,1652857,818121,9256658,1.25,12.5,28.000000000000004,5.16
1638905504,SPONGE,44.7,57.2,320021,1652857,818121,9256658,1.25,12.5,28.000000000000004,5.16
1638906506,SPONGE,45.0,57.3,311295,1784624,827227,9268362,1.35,12.3,27.3,5.73
1638906538,SPONGE,45.0,57.3,311295,1783931,827227,9269055,1.35,12.3,27.3,5.73
1638906598,SPONGE,45.0,57.2,311359,1780441,827227,9272545,1.34,12.2,27.1,5.72
1638906612,SPONGE,45.0,57.2,311359,1780429,827227,9272557,1.34,12.2,27.1,5.72
1638906620,SPONGE,45.0,57.2,311359,1780429,827227,9272557,1.34,12.2,27.1,5.72
1638906646,SPONGE,45.0,57.3,311161,1779804,827425,9273182,1.34,12.3,27.3,5.72
1638906653,SPONGE,45.0,57.3,311160,1779551,827426,9273435,1.34,12.3,27.3,5.72
1638906660,SPONGE,45.0,57.3,311160,1779398,827426,9273588,1.34,12.3,27.3,5.72
1638906889,SPONGE,45.0,57.3,311160,1777182,827426,9275804,1.34,12.3,27.3,5.71
1638906898,SPONGE,45.0,57.3,311160,1777182,827426,9275804,1.34,12.3,27.3,5.71
1638906939,SPONGE,45.0,57.3,311160,1776752,827426,9276234,1.34,12.3,27.3,5.71
1638906980,SPONGE,45.0,57.3,311160,1776632,827426,9276354,1.34,12.3,27.3,5.71
1638907080,SPONGE,45.0,57.3,311160,1774587,827426,9278399,1.34,12.3,27.3,5.7
1638907129,SPONGE,45.0,57.3,311160,1774264,827426,9278722,1.34,12.3,27.3,5.7
1638907209,SPONGE,45.1,57.3,311160,1793492,827426,9279494,1.35,12.2,27.1,5.76
1638907229,SPONGE,45.1,57.3,311160,1793436,827426,9279550,1.35,12.2,27.1,5.76
1638907265,SPONGE,45.1,57.3,311160,1793322,827426,9279664,1.35,12.2,27.1,5.76
1638907280,SPONGE,45.1,57.3,311160,1793321,827426,9279665,1.35,12.2,27.1,5.76
1638907311,SPONGE,45.1,57.3,311160,1793178,827426,9279808,1.35,12.2,27.1,5.76
1638907322,SPONGE,45.1,57.3,311160,1793128,827426,9279858,1.35,12.2,27.1,5.76
1638907346,SPONGE,45.1,57.3,311160,1792775,827426,9280211,1.35,12.2,27.1,5.76
1638907359,SPONGE,45.1,57.3,311160,1792775,827426,9280211,1.35,12.2,27.1,5.76
1638907396,SPONGE,45.2,57.3,311096,1801503,827490,9280595,1.36,12.1,26.8,5.79
1638907404,SPONGE,45.2,57.3,311096,1801503,827490,9280595,1.36,12.1,26.8,5.79
1638907415,SPONGE,45.2,57.3,311096,1800841,827490,9281257,1.36,12.1,26.8,5.79
1638907521,SPONGE,45.2,57.3,311096,1781117,827490,9282208,1.34,12.1,26.8,5.73
1638907532,SPONGE,45.2,57.3,311096,1781117,827490,9282208,1.34,12.1,26.8,5.73
1638907545,SPONGE,45.2,57.3,311096,1781033,827490,9282292,1.34,12.1,26.8,5.73
1638907557,SPONGE,45.2,57.3,311096,1781025,827490,9282300,1.34,12.1,26.8,5.73
1638907570,SPONGE,45.2,57.3,311096,1780834,827490,9282491,1.34,12.1,26.8,5.72
1638907607,SPONGE,45.2,57.3,311096,1780238,827490,9283087,1.34,12.1,26.8,5.72
1638907625,SPONGE,45.2,57.3,311096,1779523,827490,9283802,1.34,12.1,26.8,5.72
1638907672,SPONGE,45.2,57.3,311096,1778885,827490,9284440,1.34,12.1,26.8,5.72
