UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SPOOKY_BAIT,31.3,49.3,658026,1874492,1102356,1847234,7.1,18.0,57.49999999999999,2.85
1638903006,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903006,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903057,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903086,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903086,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903086,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903086,SPOOKY_BAIT,31.2,49.3,658218,1869075,1102356,1847442,7.08,18.1,57.99999999999999,2.84
1638903226,SPOOKY_BAIT,31.2,49.3,658218,1869059,1102356,1847458,7.08,18.1,57.99999999999999,2.84
1638903233,SPOOKY_BAIT,31.2,49.3,658218,1869059,1102356,1847458,7.08,18.1,57.99999999999999,2.84
1638903240,SPOOKY_BAIT,31.2,49.3,658218,1869027,1102356,1847490,7.08,18.1,57.99999999999999,2.84
1638903248,SPOOKY_BAIT,31.2,49.3,658218,1869027,1102356,1847490,7.08,18.1,57.99999999999999,2.84
1638903855,SPOOKY_BAIT,31.3,49.2,658605,1869048,1102356,1847629,7.08,17.9,57.2,2.84
1638904100,SPOOKY_BAIT,31.2,49.1,658653,1868840,1102356,1847725,7.08,17.9,57.4,2.84
1638904100,SPOOKY_BAIT,31.2,49.1,658653,1868840,1102356,1847725,7.08,17.9,57.4,2.84
1638904100,SPOOKY_BAIT,31.2,49.1,658653,1868840,1102356,1847725,7.08,17.9,57.4,2.84
1638904189,SPOOKY_BAIT,31.2,49.1,658653,1868368,1102356,1848197,7.08,17.9,57.4,2.84
1638904196,SPOOKY_BAIT,31.2,49.1,658653,1868368,1102356,1848197,7.08,17.9,57.4,2.84
1638905497,SPOOKY_BAIT,31.2,49.2,658413,1865247,1102356,1851382,7.05,18.0,57.7,2.83
1638905504,SPOOKY_BAIT,31.2,49.2,658413,1865247,1102356,1851382,7.05,18.0,57.699999999999996,2.83
