UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,STARFALL,50.1,60.0,5200589,160307,8471334,25711843,0.04,9.9,19.8,-32.44
1638903006,STARFALL,50.6,60.0,5200588,160289,8471335,25711861,0.04,9.4,18.6,-32.45
1638903006,STARFALL,50.6,60.0,5200588,160289,8471335,25711861,0.04,9.4,18.6,-32.45
1638903057,STARFALL,51.1,60.0,5200588,162313,8471335,25711885,0.04,8.9,17.4,-32.04
1638903086,STARFALL,51.1,60.0,5200588,162302,8471335,25711896,0.04,8.9,17.4,-32.04
1638903086,STARFALL,51.1,60.0,5200588,162302,8471335,25711896,0.04,8.9,17.4,-32.04
1638903086,STARFALL,51.1,60.0,5200588,162302,8471335,25711896,0.04,8.9,17.4,-32.04
1638903086,STARFALL,51.1,60.0,5200588,162302,8471335,25711896,0.04,8.9,17.4,-32.04
1638903226,STARFALL,50.2,60.0,5198796,160281,8473127,25712046,0.04,9.8,19.5,-32.44
1638903233,STARFALL,50.2,60.0,5198796,160281,8473127,25712046,0.04,9.8,19.5,-32.44
1638903240,STARFALL,50.2,60.0,5197511,161296,8474412,25712055,0.04,9.8,19.5,-32.22
1638903248,STARFALL,50.2,60.0,5197511,161296,8474412,25712055,0.04,9.8,19.5,-32.22
1638903855,STARFALL,50.8,60.0,5193735,195139,8438185,25003550,0.05,9.2,18.1,-26.62
1638904100,STARFALL,50.8,60.0,5191431,194863,8440489,25003826,0.05,9.2,18.1,-26.64
1638904100,STARFALL,50.8,60.0,5191431,194863,8440489,25003826,0.05,9.2,18.1,-26.64
1638904100,STARFALL,50.8,60.0,5191431,194863,8440489,25003826,0.05,9.2,18.1,-26.64
1638904189,STARFALL,51.0,60.0,5189908,265755,8442025,25003958,0.07,9.0,17.599999999999998,-19.53
1638904196,STARFALL,51.0,60.0,5189908,265755,8442025,25003958,0.07,9.0,17.599999999999998,-19.53
1638905497,STARFALL,51.5,75.5,5146862,256752,8491642,25006494,0.07,24.0,46.6,-20.05
1638905504,STARFALL,51.5,75.5,5146862,256752,8491642,25006494,0.07,24.0,46.6,-20.05
