UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,STRING,4.2,7.4,1146127,1710677,8234262,37859285,0.32,3.2,76.2,1.49
1638903006,STRING,4.0,7.3,1147298,1707197,8234310,37862896,0.32,3.3,82.5,1.49
1638903006,STRING,4.0,7.3,1147298,1707197,8234310,37862896,0.32,3.3,82.5,1.49
1638903057,STRING,4.1,7.3,1147294,1775594,8234314,37865499,0.33,3.2,78.0,1.55
1638903086,STRING,4.1,7.4,1149439,1775184,8234320,37865909,0.33,3.3,80.5,1.54
1638903086,STRING,4.1,7.4,1149439,1775184,8234320,37865909,0.33,3.3,80.5,1.54
1638903086,STRING,4.1,7.4,1149439,1775184,8234320,37865909,0.33,3.3,80.5,1.54
1638903086,STRING,4.1,7.4,1149439,1775184,8234320,37865909,0.33,3.3,80.5,1.54
1638903226,STRING,4.1,7.1,1183335,1765331,8235072,37875762,0.33,3.0,73.2,1.49
1638903233,STRING,4.1,7.1,1183335,1765331,8235072,37875762,0.33,3.0,73.2,1.49
1638903240,STRING,4.1,7.1,1183335,1764477,8235072,37876616,0.33,3.0,73.2,1.49
1638903248,STRING,4.1,7.1,1183335,1764477,8235072,37876616,0.33,3.0,73.2,1.49
1638903855,STRING,4.3,7.1,1187676,1829389,8167491,37311068,0.34,2.8,65.10000000000001,1.54
1638904100,STRING,4.4,6.6,1202176,1821444,8173087,37319077,0.34,2.2,50.0,1.52
1638904100,STRING,4.4,6.6,1202176,1821444,8173087,37319077,0.34,2.2,50.0,1.52
1638904100,STRING,4.4,6.6,1202176,1821444,8173087,37319077,0.34,2.2,50.0,1.52
1638904189,STRING,4.3,6.4,1207612,1820241,8175395,37322328,0.34,2.1,48.8,1.51
1638904196,STRING,4.3,6.4,1207612,1820241,8175395,37322328,0.34,2.1,48.8,1.51
1638905497,STRING,4.1,6.3,1231202,1776730,8184220,37409117,0.33,2.2,53.7,1.44
1638905504,STRING,4.1,6.3,1231202,1776730,8184220,37409117,0.33,2.2,53.7,1.44
