UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,STRONG_FRAGMENT,25134.1,30392.0,10879,159481,115778,122123,9.14,5257.9,20.9,14.66
1638903006,STRONG_FRAGMENT,25134.1,30392.0,10879,159471,115778,122133,9.14,5257.9,20.9,14.66
1638903006,STRONG_FRAGMENT,25134.1,30392.0,10879,159471,115778,122133,9.14,5257.9,20.9,14.66
1638903057,STRONG_FRAGMENT,25134.1,30392.0,10879,159466,115778,122138,9.14,5257.9,20.9,14.66
1638903086,STRONG_FRAGMENT,25134.1,30392.0,10879,159462,115778,122142,9.14,5257.9,20.9,14.66
1638903086,STRONG_FRAGMENT,25134.1,30392.0,10879,159462,115778,122142,9.14,5257.9,20.9,14.66
1638903086,STRONG_FRAGMENT,25134.1,30392.0,10879,159462,115778,122142,9.14,5257.9,20.9,14.66
1638903086,STRONG_FRAGMENT,25134.1,30392.0,10879,159462,115778,122142,9.14,5257.9,20.9,14.66
1638903226,STRONG_FRAGMENT,25134.1,30392.0,10879,159444,115778,122160,9.14,5257.9,20.9,14.66
1638903233,STRONG_FRAGMENT,25134.1,30392.0,10879,159444,115778,122160,9.14,5257.9,20.9,14.66
1638903240,STRONG_FRAGMENT,25134.1,30392.0,9872,159444,115778,122160,9.14,5257.9,20.9,16.15
1638903248,STRONG_FRAGMENT,25134.1,30392.0,9872,159444,115778,122160,9.14,5257.9,20.9,16.15
1638903855,STRONG_FRAGMENT,25134.1,30249.8,9800,159317,115778,122447,9.11,5115.7,20.4,16.26
1638904100,STRONG_FRAGMENT,25134.2,30249.8,9787,159368,115781,122498,9.11,5115.6,20.4,16.28
1638904100,STRONG_FRAGMENT,25134.2,30249.8,9787,159368,115781,122498,9.11,5115.6,20.4,16.28
1638904100,STRONG_FRAGMENT,25134.2,30249.8,9787,159368,115781,122498,9.11,5115.6,20.4,16.28
1638904189,STRONG_FRAGMENT,25134.2,30249.8,9787,159368,115781,122498,9.11,5115.6,20.4,16.28
1638904196,STRONG_FRAGMENT,25134.2,30249.8,9787,159368,115781,122498,9.11,5115.6,20.4,16.28
1638905497,STRONG_FRAGMENT,25133.7,30248.1,10011,159235,115781,122722,9.08,5114.4,20.3,15.91
1638905504,STRONG_FRAGMENT,25133.7,30248.1,10011,159235,115781,122722,9.08,5114.4,20.3,15.91
1638906506,STRONG_FRAGMENT,25133.8,30249.5,9876,158425,114039,122272,9.07,5115.7,20.4,16.04
1638906538,STRONG_FRAGMENT,25133.8,30249.5,9876,158428,114039,122272,9.07,5115.7,20.4,16.04
1638906598,STRONG_FRAGMENT,25133.5,30249.5,9851,158161,114039,122539,9.03,5116.0,20.4,16.06
1638906612,STRONG_FRAGMENT,25133.5,30249.5,9851,158161,114039,122539,9.03,5116.0,20.4,16.06
1638906620,STRONG_FRAGMENT,25133.5,30249.5,9851,158161,114039,122539,9.03,5116.0,20.4,16.06
1638906646,STRONG_FRAGMENT,25133.5,30249.5,9851,158152,114039,122548,9.03,5116.0,20.4,16.05
1638906653,STRONG_FRAGMENT,25133.5,30249.5,9851,158152,114039,122548,9.03,5116.0,20.4,16.05
1638906660,STRONG_FRAGMENT,25133.5,30249.5,9851,158152,114039,122548,9.03,5116.0,20.4,16.05
1638906889,STRONG_FRAGMENT,25133.6,30249.4,9584,158145,114039,122619,9.03,5115.8,20.4,16.5
1638906898,STRONG_FRAGMENT,25133.6,30249.4,9633,158145,114039,122619,9.03,5115.8,20.4,16.42
1638906939,STRONG_FRAGMENT,25133.6,30249.4,9633,158130,114039,122634,9.03,5115.8,20.4,16.42
1638906980,STRONG_FRAGMENT,25133.6,30249.4,9633,158130,114039,122634,9.03,5115.8,20.4,16.42
1638907080,STRONG_FRAGMENT,25133.6,30249.3,9633,158115,114039,122649,9.02,5115.7,20.4,16.41
1638907129,STRONG_FRAGMENT,25133.6,30249.3,9670,158100,114039,122664,9.02,5115.7,20.4,16.35
1638907209,STRONG_FRAGMENT,25133.6,30249.3,9670,158087,114039,122677,9.02,5115.7,20.4,16.35
1638907229,STRONG_FRAGMENT,25133.5,30249.2,9677,158051,114039,122713,9.02,5115.7,20.4,16.33
1638907265,STRONG_FRAGMENT,25133.5,30249.2,9643,158051,114039,122713,9.02,5115.7,20.4,16.39
1638907280,STRONG_FRAGMENT,25133.5,30249.1,9643,158051,114039,122713,9.02,5115.6,20.4,16.39
1638907311,STRONG_FRAGMENT,25133.5,30249.5,9646,158036,114039,122728,9.01,5116.0,20.4,16.38
1638907322,STRONG_FRAGMENT,25133.5,30249.5,9581,158033,114104,122731,9.01,5116.0,20.4,16.49
1638907346,STRONG_FRAGMENT,25133.6,30249.5,9576,158033,114109,122731,9.01,5115.9,20.4,16.5
1638907359,STRONG_FRAGMENT,25133.6,30249.5,9576,158033,114109,122731,9.01,5115.9,20.4,16.5
1638907396,STRONG_FRAGMENT,25133.5,30249.4,9587,158016,114109,122751,9.01,5115.9,20.4,16.48
1638907404,STRONG_FRAGMENT,25133.5,30249.4,9587,158016,114109,122751,9.01,5115.9,20.4,16.48
1638907415,STRONG_FRAGMENT,25133.5,30249.3,9587,158000,114109,122767,9.01,5115.8,20.4,16.48
1638907521,STRONG_FRAGMENT,25133.5,30249.2,9651,157964,114109,122803,9.0,5115.7,20.4,16.37
1638907532,STRONG_FRAGMENT,25133.5,30249.2,9651,157964,114109,122803,9.0,5115.7,20.4,16.37
1638907545,STRONG_FRAGMENT,25133.5,30249.2,9651,157900,114109,122867,9.0,5115.7,20.4,16.36
1638907557,STRONG_FRAGMENT,25133.5,30249.3,9651,157900,114109,122867,9.0,5115.8,20.4,16.36
1638907570,STRONG_FRAGMENT,25133.5,30249.2,9655,157897,114109,122870,9.0,5115.7,20.4,16.35
1638907607,STRONG_FRAGMENT,25133.5,30249.2,9655,157897,114109,122870,9.0,5115.7,20.4,16.35
1638907625,STRONG_FRAGMENT,25133.5,30249.1,9655,157890,114109,122877,8.99,5115.6,20.4,16.35
1638907672,STRONG_FRAGMENT,25133.6,30249.0,9731,158926,114109,122881,9.05,5115.4,20.4,16.33
