UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SUGAR_CANE,1.8,3.3,4444004,2103002,30912200,69530167,0.21,1.5,83.3,-2.11
1638903006,SUGAR_CANE,1.8,3.3,4437603,2098442,30918601,69534727,0.21,1.5,83.3,-2.11
1638903006,SUGAR_CANE,1.8,3.3,4437603,2098442,30918601,69534727,0.21,1.5,83.3,-2.11
1638903057,SUGAR_CANE,1.8,3.3,4437603,2098338,30918601,69534831,0.21,1.5,83.3,-2.11
1638903086,SUGAR_CANE,1.8,3.3,4436302,2096938,30919902,69536231,0.21,1.5,83.3,-2.12
1638903086,SUGAR_CANE,1.8,3.3,4436302,2096938,30919902,69536231,0.21,1.5,83.3,-2.12
1638903086,SUGAR_CANE,1.8,3.3,4436302,2096938,30919902,69536231,0.21,1.5,83.3,-2.12
1638903086,SUGAR_CANE,1.8,3.3,4436302,2096938,30919902,69536231,0.21,1.5,83.3,-2.12
1638903226,SUGAR_CANE,1.8,3.3,4429454,2095285,30926750,69538908,0.21,1.5,83.3,-2.11
1638903233,SUGAR_CANE,1.8,3.3,4429454,2095285,30926750,69538908,0.21,1.5,83.3,-2.11
1638903240,SUGAR_CANE,1.8,3.3,4428238,2094713,30927966,69539480,0.21,1.5,83.3,-2.11
1638903248,SUGAR_CANE,1.8,3.3,4428238,2094713,30927966,69539480,0.21,1.5,83.3,-2.11
1638903855,SUGAR_CANE,1.9,3.3,4455308,2051871,30974175,69641145,0.21,1.4,73.7,-2.17
1638904100,SUGAR_CANE,2.1,3.3,4434721,2177657,30995657,69662378,0.22,1.2,57.1,-2.04
1638904100,SUGAR_CANE,2.1,3.3,4434721,2177657,30995657,69662378,0.22,1.2,57.1,-2.04
1638904100,SUGAR_CANE,2.1,3.3,4434721,2177657,30995657,69662378,0.22,1.2,57.1,-2.04
1638904189,SUGAR_CANE,2.1,3.3,4428700,2053260,31001678,69715777,0.21,1.2,57.1,-2.16
1638904196,SUGAR_CANE,2.1,3.3,4428700,2053260,31001678,69715777,0.21,1.2,57.1,-2.16
1638905497,SUGAR_CANE,2.1,3.2,4355912,2382338,30330421,68245352,0.24,1.1,52.400000000000006,-1.83
