UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SULPHUR,10.8,17.1,769661,883831,5279622,6531186,0.95,6.3,58.3,1.15
1638903006,SULPHUR,10.8,17.1,768637,883825,5280646,6531192,0.95,6.3,58.3,1.15
1638903006,SULPHUR,10.8,17.1,768637,883825,5280646,6531192,0.95,6.3,58.3,1.15
1638903057,SULPHUR,10.8,17.1,768125,883825,5281158,6531192,0.95,6.3,58.3,1.15
1638903086,SULPHUR,10.8,17.1,766653,883817,5282630,6531200,0.95,6.3,58.3,1.15
1638903086,SULPHUR,10.8,17.1,766653,883817,5282630,6531200,0.95,6.3,58.3,1.15
1638903086,SULPHUR,10.8,17.1,766653,883817,5282630,6531200,0.95,6.3,58.3,1.15
1638903086,SULPHUR,10.8,17.1,766653,883817,5282630,6531200,0.95,6.3,58.3,1.15
1638903226,SULPHUR,10.8,17.1,762557,883164,5286790,6531853,0.95,6.3,58.3,1.16
1638903233,SULPHUR,10.8,17.1,762557,883164,5286790,6531853,0.95,6.3,58.3,1.16
1638903240,SULPHUR,10.8,17.1,762557,883129,5286790,6531888,0.95,6.3,58.3,1.16
1638903248,SULPHUR,10.8,17.1,762557,883129,5286790,6531888,0.95,6.3,58.3,1.16
1638903855,SULPHUR,11.0,17.1,761212,882196,5289801,6534245,0.95,6.1,55.50000000000001,1.16
1638904100,SULPHUR,10.8,17.1,755139,880580,5298569,6535861,0.94,6.3,58.3,1.17
1638904100,SULPHUR,10.8,17.1,755139,880580,5298569,6535861,0.94,6.3,58.3,1.17
1638904100,SULPHUR,10.8,17.1,755139,880580,5298569,6535861,0.94,6.3,58.3,1.17
1638904189,SULPHUR,10.8,17.0,754883,879731,5300105,6536710,0.94,6.2,57.4,1.17
1638904196,SULPHUR,10.8,17.0,754883,879731,5300105,6536710,0.94,6.2,57.4,1.17
1638905497,SULPHUR,10.9,17.1,722562,920283,5338139,6547187,0.98,6.2,56.89999999999999,1.27
1638905504,SULPHUR,10.9,17.1,722562,920283,5338139,6547187,0.98,6.2,56.89999999999999,1.27
1638906506,SULPHUR,10.9,17.1,706442,911841,5367159,6555629,0.97,6.2,56.89999999999999,1.29
1638906538,SULPHUR,10.9,17.1,706442,911830,5367159,6555640,0.97,6.2,56.89999999999999,1.29
1638906598,SULPHUR,10.9,17.1,705418,911420,5368183,6556050,0.97,6.2,56.89999999999999,1.29
1638906612,SULPHUR,10.9,17.1,705418,911420,5368183,6556050,0.97,6.2,56.89999999999999,1.29
1638906620,SULPHUR,10.9,17.1,705418,911420,5368183,6556050,0.97,6.2,56.89999999999999,1.29
1638906646,SULPHUR,10.9,17.1,705418,911157,5368183,6556313,0.97,6.2,56.89999999999999,1.29
1638906653,SULPHUR,10.9,17.1,705418,911157,5368183,6556313,0.97,6.2,56.89999999999999,1.29
1638906660,SULPHUR,10.9,17.1,705418,911152,5368183,6556318,0.97,6.2,56.89999999999999,1.29
1638906889,SULPHUR,10.9,17.1,702826,909121,5372055,6558349,0.97,6.2,56.89999999999999,1.29
1638906898,SULPHUR,10.9,17.1,702826,909120,5372055,6558350,0.97,6.2,56.89999999999999,1.29
1638906939,SULPHUR,10.9,17.1,700202,909119,5374679,6558351,0.97,6.2,56.89999999999999,1.3
1638906980,SULPHUR,10.9,17.1,696554,909114,5378327,6558356,0.97,6.2,56.89999999999999,1.31
1638907080,SULPHUR,10.9,17.1,691802,908858,5383719,6558612,0.97,6.2,56.89999999999999,1.31
1638907129,SULPHUR,10.9,17.1,689946,908012,5385575,6559458,0.97,6.2,56.89999999999999,1.32
1638907209,SULPHUR,10.9,17.1,687130,906731,5388391,6560739,0.97,6.2,56.89999999999999,1.32
1638907229,SULPHUR,10.9,17.1,687706,906729,5388455,6560741,0.97,6.2,56.89999999999999,1.32
1638907265,SULPHUR,10.9,17.1,687706,906678,5388455,6560792,0.97,6.2,56.89999999999999,1.32
1638907280,SULPHUR,10.9,17.1,687706,906677,5388455,6560793,0.97,6.2,56.89999999999999,1.32
1638907311,SULPHUR,10.9,17.0,688346,906651,5388455,6560819,0.97,6.1,56.00000000000001,1.32
1638907322,SULPHUR,10.9,17.0,688346,906649,5388455,6560821,0.97,6.1,56.00000000000001,1.32
1638907346,SULPHUR,10.9,17.0,688346,905466,5388455,6562004,0.97,6.1,56.00000000000001,1.32
1638907359,SULPHUR,10.9,17.0,688346,905466,5388455,6562004,0.97,6.1,56.00000000000001,1.32
1638907396,SULPHUR,10.9,17.0,688282,905210,5388519,6562260,0.97,6.1,56.00000000000001,1.32
1638907404,SULPHUR,10.9,17.0,688282,905210,5388519,6562260,0.97,6.1,56.00000000000001,1.32
1638907415,SULPHUR,10.9,17.0,688026,905203,5388775,6562267,0.97,6.1,56.00000000000001,1.32
1638907521,SULPHUR,10.9,17.0,688665,900976,5388776,6566494,0.96,6.1,56.00000000000001,1.31
1638907532,SULPHUR,10.9,17.0,688665,900976,5388776,6566494,0.96,6.1,56.00000000000001,1.31
1638907545,SULPHUR,10.9,17.0,688665,900912,5388776,6566558,0.96,6.1,56.00000000000001,1.31
1638907557,SULPHUR,10.9,17.0,688665,900912,5388776,6566558,0.96,6.1,56.00000000000001,1.31
1638907570,SULPHUR,10.9,17.0,688665,900119,5388776,6567351,0.96,6.1,56.00000000000001,1.31
1638907607,SULPHUR,10.9,17.0,688665,900118,5388776,6567352,0.96,6.1,56.00000000000001,1.31
1638907625,SULPHUR,11.0,17.0,688665,910118,5388776,6567352,0.97,6.0,54.50000000000001,1.32
1638907672,SULPHUR,11.0,17.0,688665,910118,5388776,6567352,0.97,6.0,54.50000000000001,1.32
