UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SUMMONING_EYE,1253141.3,1274424.4,4628,17454,64040,73579,1.66,21283.1,1.7000000000000002,3.77
1638903006,SUMMONING_EYE,1253141.3,1274424.0,4637,17448,64040,73587,1.66,21282.7,1.7000000000000002,3.76
1638903006,SUMMONING_EYE,1253141.3,1274424.0,4637,17448,64040,73587,1.66,21282.7,1.7000000000000002,3.76
1638903057,SUMMONING_EYE,1253141.3,1274424.4,4629,17424,64047,73614,1.66,21283.1,1.7000000000000002,3.76
1638903086,SUMMONING_EYE,1253141.3,1274424.2,4631,17421,64047,73618,1.66,21282.9,1.7000000000000002,3.76
1638903086,SUMMONING_EYE,1253141.3,1274424.2,4631,17421,64047,73618,1.66,21282.9,1.7000000000000002,3.76
1638903086,SUMMONING_EYE,1253141.3,1274424.2,4631,17421,64047,73618,1.66,21282.9,1.7000000000000002,3.76
1638903086,SUMMONING_EYE,1253141.3,1274424.2,4631,17421,64047,73618,1.66,21282.9,1.7000000000000002,3.76
1638903226,SUMMONING_EYE,1253141.4,1274423.5,4652,17423,64047,73634,1.66,21282.1,1.7000000000000002,3.75
1638903233,SUMMONING_EYE,1253141.4,1274423.5,4652,17423,64047,73634,1.66,21282.1,1.7000000000000002,3.75
1638903240,SUMMONING_EYE,1253141.4,1274423.3,4646,17415,64047,73642,1.66,21281.9,1.7000000000000002,3.75
1638903248,SUMMONING_EYE,1253141.4,1274423.3,4646,17415,64047,73642,1.66,21281.9,1.7000000000000002,3.75
1638903855,SUMMONING_EYE,1253141.5,1274422.4,4681,17370,64079,73709,1.65,21280.9,1.7000000000000002,3.71
1638904100,SUMMONING_EYE,1253141.4,1274421.2,4689,17400,64080,73743,1.65,21279.8,1.7000000000000002,3.71
1638904100,SUMMONING_EYE,1253141.4,1274421.2,4689,17400,64080,73743,1.65,21279.8,1.7000000000000002,3.71
1638904100,SUMMONING_EYE,1253141.4,1274421.2,4689,17400,64080,73743,1.65,21279.8,1.7000000000000002,3.71
1638904189,SUMMONING_EYE,1253141.4,1274420.7,4697,17384,64080,73761,1.65,21279.3,1.7000000000000002,3.7
1638904196,SUMMONING_EYE,1253141.4,1274420.7,4697,17384,64080,73761,1.65,21279.3,1.7000000000000002,3.7
1638905497,SUMMONING_EYE,1254473.1,1265563.0,4719,17439,63783,73621,1.66,11089.9,0.8999999999999999,3.7
1638905504,SUMMONING_EYE,1254473.1,1265563.0,4719,17439,63783,73621,1.66,11089.9,0.8999999999999999,3.7
1638906506,SUMMONING_EYE,1253141.4,1264198.1,4787,17498,63508,73509,1.67,11056.7,0.8999999999999999,3.66
1638906538,SUMMONING_EYE,1253141.4,1264197.9,4792,17498,63508,73509,1.67,11056.5,0.8999999999999999,3.65
1638906598,SUMMONING_EYE,1253141.4,1264197.5,4798,17489,63508,73520,1.67,11056.1,0.8999999999999999,3.65
1638906612,SUMMONING_EYE,1253141.3,1264197.5,4801,17488,63508,73521,1.67,11056.2,0.8999999999999999,3.64
1638906620,SUMMONING_EYE,1253141.3,1264197.5,4801,17488,63508,73521,1.67,11056.2,0.8999999999999999,3.64
1638906646,SUMMONING_EYE,1253141.4,1264197.3,4805,17488,63508,73524,1.66,11055.9,0.8999999999999999,3.64
1638906653,SUMMONING_EYE,1253141.4,1264197.3,4805,17487,63508,73525,1.66,11055.9,0.8999999999999999,3.64
1638906660,SUMMONING_EYE,1253141.4,1264197.4,4805,17487,63508,73525,1.66,11056.0,0.8999999999999999,3.64
1638906889,SUMMONING_EYE,1253141.4,1264196.7,4800,17710,63523,73558,1.69,11055.3,0.8999999999999999,3.69
1638906898,SUMMONING_EYE,1253141.4,1264196.7,4801,17708,63523,73560,1.69,11055.3,0.8999999999999999,3.69
1638906939,SUMMONING_EYE,1253141.4,1264196.5,4802,17705,63523,73563,1.68,11055.1,0.8999999999999999,3.69
1638906980,SUMMONING_EYE,1253141.5,1264196.3,4805,17700,63523,73568,1.68,11054.8,0.8999999999999999,3.68
1638907080,SUMMONING_EYE,1253141.4,1264198.4,4749,17698,63552,73573,1.68,11057.0,0.8999999999999999,3.73
1638907129,SUMMONING_EYE,1253141.4,1264198.3,4753,17691,63552,73581,1.68,11056.9,0.8999999999999999,3.72
1638907209,SUMMONING_EYE,1253141.5,1264198.1,4751,17686,63555,73586,1.68,11056.6,0.8999999999999999,3.72
1638907229,SUMMONING_EYE,1253141.5,1264198.0,4754,17687,63555,73586,1.68,11056.5,0.8999999999999999,3.72
1638907265,SUMMONING_EYE,1253141.4,1264198.3,4752,17682,63563,73591,1.68,11056.9,0.8999999999999999,3.72
1638907280,SUMMONING_EYE,1253141.4,1264198.3,4752,17682,63563,73591,1.68,11056.9,0.8999999999999999,3.72
1638907311,SUMMONING_EYE,1253141.4,1264198.1,4755,17679,63563,73594,1.68,11056.7,0.8999999999999999,3.72
1638907322,SUMMONING_EYE,1253141.5,1264198.0,4755,17679,63563,73594,1.68,11056.5,0.8999999999999999,3.72
1638907346,SUMMONING_EYE,1253141.4,1264198.0,4756,17679,63563,73598,1.68,11056.6,0.8999999999999999,3.72
1638907359,SUMMONING_EYE,1253141.4,1264198.0,4756,17679,63563,73598,1.68,11056.6,0.8999999999999999,3.72
1638907396,SUMMONING_EYE,1253141.4,1264197.8,4770,17674,63563,73604,1.68,11056.4,0.8999999999999999,3.71
1638907404,SUMMONING_EYE,1253141.4,1264197.8,4770,17674,63563,73604,1.68,11056.4,0.8999999999999999,3.71
1638907415,SUMMONING_EYE,1253141.4,1264198.8,4757,17667,63595,73612,1.68,11057.4,0.8999999999999999,3.71
1638907521,SUMMONING_EYE,1253141.4,1264198.8,4789,17662,63606,73617,1.68,11057.4,0.8999999999999999,3.69
1638907532,SUMMONING_EYE,1253141.4,1264198.8,4789,17662,63606,73617,1.68,11057.4,0.8999999999999999,3.69
1638907545,SUMMONING_EYE,1253141.4,1264198.8,4785,17661,63610,73618,1.68,11057.4,0.8999999999999999,3.69
1638907557,SUMMONING_EYE,1253141.5,1264198.8,4785,17859,63610,73620,1.7,11057.3,0.8999999999999999,3.73
1638907570,SUMMONING_EYE,1253141.5,1264198.8,4785,17858,63610,73621,1.7,11057.3,0.8999999999999999,3.73
1638907607,SUMMONING_EYE,1253141.5,1264198.6,4783,17856,63613,73623,1.7,11057.1,0.8999999999999999,3.73
1638907625,SUMMONING_EYE,1253141.5,1264198.5,4786,17853,63613,73626,1.7,11057.0,0.8999999999999999,3.73
1638907672,SUMMONING_EYE,1253141.5,1264198.4,4786,17846,63613,73633,1.7,11056.9,0.8999999999999999,3.73
