UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,SUPERIOR_FRAGMENT,147858.1,154283.8,2736,133118,49493,71994,12.94,6425.7,4.3,48.65
1638903006,SUPERIOR_FRAGMENT,147858.2,154283.7,2736,133120,49493,71995,12.94,6425.5,4.3,48.65
1638903006,SUPERIOR_FRAGMENT,147858.2,154283.7,2736,133120,49493,71995,12.94,6425.5,4.3,48.65
1638903057,SUPERIOR_FRAGMENT,147858.2,154283.7,2737,133119,49493,71996,12.94,6425.5,4.3,48.64
1638903086,SUPERIOR_FRAGMENT,147858.2,154283.7,2737,133119,49493,71996,12.94,6425.5,4.3,48.64
1638903086,SUPERIOR_FRAGMENT,147858.2,154283.7,2737,133119,49493,71996,12.94,6425.5,4.3,48.64
1638903086,SUPERIOR_FRAGMENT,147858.2,154283.7,2737,133119,49493,71996,12.94,6425.5,4.3,48.64
1638903086,SUPERIOR_FRAGMENT,147858.2,154283.7,2737,133119,49493,71996,12.94,6425.5,4.3,48.64
1638903226,SUPERIOR_FRAGMENT,147858.1,154283.6,2740,133109,49493,72006,12.94,6425.5,4.3,48.58
1638903233,SUPERIOR_FRAGMENT,147858.1,154283.6,2740,133109,49493,72006,12.94,6425.5,4.3,48.58
1638903240,SUPERIOR_FRAGMENT,147858.1,154283.6,2740,133107,49493,72008,12.94,6425.5,4.3,48.58
1638903248,SUPERIOR_FRAGMENT,147858.1,154283.6,2740,133107,49493,72008,12.94,6425.5,4.3,48.58
1638903855,SUPERIOR_FRAGMENT,147858.2,154282.9,2802,133008,49493,72094,12.91,6424.7,4.3,47.47
1638904100,SUPERIOR_FRAGMENT,147858.2,154282.6,2820,133053,49493,72120,12.91,6424.4,4.3,47.18
1638904100,SUPERIOR_FRAGMENT,147858.2,154282.6,2820,133053,49493,72120,12.91,6424.4,4.3,47.18
1638904100,SUPERIOR_FRAGMENT,147858.2,154282.6,2820,133053,49493,72120,12.91,6424.4,4.3,47.18
1638904189,SUPERIOR_FRAGMENT,147858.2,154282.6,2817,133046,49493,72127,12.91,6424.4,4.3,47.23
1638904196,SUPERIOR_FRAGMENT,147858.2,154282.6,2817,133046,49493,72127,12.91,6424.4,4.3,47.23
1638905497,SUPERIOR_FRAGMENT,147857.5,154281.4,2905,132979,49493,72300,12.87,6423.9,4.3,45.78
1638905504,SUPERIOR_FRAGMENT,147857.5,154281.4,2905,132979,49493,72300,12.87,6423.9,4.3,45.78
