UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,TARANTULA_WEB,209.1,229.7,340877,5310441,8089702,14188665,2.62,20.6,9.9,15.58
1638903006,TARANTULA_WEB,210.0,229.7,340877,5306717,8089702,14192389,2.62,19.7,9.4,15.57
1638903006,TARANTULA_WEB,210.0,229.7,340877,5306717,8089702,14192389,2.62,19.7,9.4,15.57
1638903057,TARANTULA_WEB,210.0,229.7,340877,5306672,8089702,14192434,2.62,19.7,9.4,15.57
1638903086,TARANTULA_WEB,210.0,229.7,340877,5306668,8089702,14192438,2.62,19.7,9.4,15.57
1638903086,TARANTULA_WEB,210.0,229.7,340877,5306668,8089702,14192438,2.62,19.7,9.4,15.57
1638903086,TARANTULA_WEB,210.0,229.7,340877,5306668,8089702,14192438,2.62,19.7,9.4,15.57
1638903086,TARANTULA_WEB,210.0,229.7,340877,5306668,8089702,14192438,2.62,19.7,9.4,15.57
1638903226,TARANTULA_WEB,210.0,229.8,340021,5300606,8090010,14198500,2.61,19.8,9.4,15.59
1638903233,TARANTULA_WEB,210.0,229.8,340021,5300606,8090010,14198500,2.61,19.8,9.4,15.59
1638903240,TARANTULA_WEB,210.0,229.8,341749,5300517,8090010,14198589,2.61,19.8,9.4,15.51
1638903248,TARANTULA_WEB,210.0,229.8,341749,5300517,8090010,14198589,2.61,19.8,9.4,15.51
1638903855,TARANTULA_WEB,211.1,229.6,350423,5298333,8090800,14204869,2.61,18.5,8.799999999999999,15.12
1638904100,TARANTULA_WEB,213.0,229.3,354855,5292391,8091368,14210307,2.61,16.3,7.7,14.91
1638904100,TARANTULA_WEB,213.0,229.3,354855,5292391,8091368,14210307,2.61,16.3,7.7,14.91
1638904100,TARANTULA_WEB,213.0,229.3,354855,5292391,8091368,14210307,2.61,16.3,7.7,14.91
1638904189,TARANTULA_WEB,213.0,229.2,356391,5292207,8091368,14210491,2.61,16.2,7.6,14.85
1638904196,TARANTULA_WEB,213.0,229.2,356391,5292207,8091368,14210491,2.61,16.2,7.6,14.85
1638905497,TARANTULA_WEB,209.3,229.3,380391,5311601,7960804,14163959,2.63,20.0,9.6,13.96
1638905504,TARANTULA_WEB,209.3,229.3,380391,5311601,7960804,14163959,2.63,20.0,9.6,13.96
