UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,TIGHTLY_TIED_HAY_BALE,450000.3,494672.8,1207,40839,860,679,421.02,44672.5,9.9,33.84
1638903006,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903006,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903057,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903086,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903086,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903086,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903086,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903226,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903233,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903240,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903248,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638903855,TIGHTLY_TIED_HAY_BALE,450000.3,494672.7,1208,40839,860,679,421.02,44672.4,9.9,33.81
1638904100,TIGHTLY_TIED_HAY_BALE,450000.3,494672.6,1210,40839,860,679,421.02,44672.3,9.9,33.75
1638904100,TIGHTLY_TIED_HAY_BALE,450000.3,494672.6,1210,40839,860,679,421.02,44672.3,9.9,33.75
1638904100,TIGHTLY_TIED_HAY_BALE,450000.3,494672.6,1210,40839,860,679,421.02,44672.3,9.9,33.75
1638904189,TIGHTLY_TIED_HAY_BALE,450000.3,494672.6,1210,40839,860,679,421.02,44672.3,9.9,33.75
1638904196,TIGHTLY_TIED_HAY_BALE,450000.3,494672.6,1210,40839,860,679,421.02,44672.3,9.9,33.75
1638905497,TIGHTLY_TIED_HAY_BALE,450000.1,494672.6,1210,40745,860,679,420.05,44672.5,9.9,33.67
1638905504,TIGHTLY_TIED_HAY_BALE,450000.1,494672.6,1210,40745,860,679,420.05,44672.5,9.9,33.67
1638906506,TIGHTLY_TIED_HAY_BALE,450000.4,494672.6,1205,40759,604,674,423.31,44672.2,9.9,33.82
