UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,TITANIC_EXP_BOTTLE,278396.3,290995.3,5170,9997,125256,51000,1.37,12599.0,4.5,1.93
1638903006,TITANIC_EXP_BOTTLE,278396.3,290995.1,5154,9990,125273,51009,1.37,12598.8,4.5,1.94
1638903006,TITANIC_EXP_BOTTLE,278396.3,290995.1,5154,9990,125273,51009,1.37,12598.8,4.5,1.94
1638903057,TITANIC_EXP_BOTTLE,278396.5,290995.0,5156,9956,125280,51010,1.37,12598.5,4.5,1.93
1638903086,TITANIC_EXP_BOTTLE,278396.5,290994.9,5153,9956,125283,51011,1.37,12598.4,4.5,1.93
1638903086,TITANIC_EXP_BOTTLE,278396.5,290994.9,5153,9956,125283,51011,1.37,12598.4,4.5,1.93
1638903086,TITANIC_EXP_BOTTLE,278396.5,290994.9,5153,9956,125283,51011,1.37,12598.4,4.5,1.93
1638903086,TITANIC_EXP_BOTTLE,278396.5,290994.9,5153,9956,125283,51011,1.37,12598.4,4.5,1.93
1638903226,TITANIC_EXP_BOTTLE,278396.8,290994.8,5156,9953,125310,51016,1.37,12598.0,4.5,1.93
1638903233,TITANIC_EXP_BOTTLE,278396.8,290994.8,5156,9953,125310,51016,1.37,12598.0,4.5,1.93
1638903240,TITANIC_EXP_BOTTLE,278396.8,290994.8,5151,10113,125315,51016,1.39,12598.0,4.5,1.96
1638903248,TITANIC_EXP_BOTTLE,278396.8,290994.8,5151,10113,125315,51016,1.39,12598.0,4.5,1.96
1638903855,TITANIC_EXP_BOTTLE,278397.3,290993.9,5319,10073,125475,51116,1.38,12596.6,4.5,1.89
1638904100,TITANIC_EXP_BOTTLE,278397.5,290993.9,5324,10074,125518,51130,1.38,12596.4,4.5,1.89
1638904100,TITANIC_EXP_BOTTLE,278397.5,290993.9,5324,10074,125518,51130,1.38,12596.4,4.5,1.89
1638904100,TITANIC_EXP_BOTTLE,278397.5,290993.9,5324,10074,125518,51130,1.38,12596.4,4.5,1.89
1638904189,TITANIC_EXP_BOTTLE,278397.9,290993.9,5314,10094,125536,51133,1.38,12596.0,4.5,1.9
1638904196,TITANIC_EXP_BOTTLE,278397.9,290993.9,5314,10094,125536,51133,1.38,12596.0,4.5,1.9
1638905497,TITANIC_EXP_BOTTLE,280000.8,290993.7,5296,10499,125752,51179,1.44,10992.9,3.9,1.98
1638905504,TITANIC_EXP_BOTTLE,280000.8,290993.7,5296,10499,125752,51179,1.44,10992.9,3.9,1.98
1638906506,TITANIC_EXP_BOTTLE,280000.8,290991.9,5357,10414,125925,51246,1.42,10991.1,3.9,1.94
1638906538,TITANIC_EXP_BOTTLE,280000.7,290991.8,5425,10413,125928,51247,1.42,10991.1,3.9,1.92
1638906598,TITANIC_EXP_BOTTLE,280001.1,290991.6,5430,10567,125933,51255,1.44,10990.5,3.9,1.95
1638906612,TITANIC_EXP_BOTTLE,280001.1,290991.5,5500,10595,125933,51256,1.45,10990.4,3.9,1.93
1638906620,TITANIC_EXP_BOTTLE,280001.1,290991.5,5500,10595,125933,51256,1.45,10990.4,3.9,1.93
1638906646,TITANIC_EXP_BOTTLE,280001.1,290991.6,5429,10588,125938,51263,1.45,10990.5,3.9,1.95
1638906653,TITANIC_EXP_BOTTLE,280001.1,290991.5,5364,10587,125944,51263,1.45,10990.4,3.9,1.97
1638906660,TITANIC_EXP_BOTTLE,280001.1,290991.5,5418,10586,125951,51264,1.45,10990.4,3.9,1.95
1638906889,TITANIC_EXP_BOTTLE,280001.1,290991.1,5459,10581,125982,51275,1.44,10990.0,3.9,1.94
1638906898,TITANIC_EXP_BOTTLE,280001.1,290991.1,5445,10581,125984,51275,1.44,10990.0,3.9,1.94
1638906939,TITANIC_EXP_BOTTLE,280001.1,290991.0,5440,10583,125990,51276,1.44,10989.9,3.9,1.95
1638906980,TITANIC_EXP_BOTTLE,280001.0,290990.9,5418,10579,126001,51280,1.44,10989.9,3.9,1.95
1638907080,TITANIC_EXP_BOTTLE,280001.3,290990.8,5427,10580,124102,50227,1.47,10989.5,3.9,1.95
1638907129,TITANIC_EXP_BOTTLE,280000.9,290990.6,5375,10574,124108,50234,1.47,10989.7,3.9,1.97
1638907209,TITANIC_EXP_BOTTLE,280000.9,290990.3,5418,10577,124121,50244,1.47,10989.4,3.9,1.95
1638907229,TITANIC_EXP_BOTTLE,280000.9,290990.3,5423,10562,124124,50246,1.47,10989.4,3.9,1.95
1638907265,TITANIC_EXP_BOTTLE,280001.0,290990.3,5428,10562,124124,50246,1.47,10989.3,3.9,1.95
1638907280,TITANIC_EXP_BOTTLE,280001.0,290990.2,5423,10563,124129,50246,1.47,10989.2,3.9,1.95
1638907311,TITANIC_EXP_BOTTLE,280000.9,290990.2,5414,10561,124139,50249,1.47,10989.3,3.9,1.95
1638907322,TITANIC_EXP_BOTTLE,280000.9,290990.3,5415,10561,124139,50249,1.47,10989.4,3.9,1.95
1638907346,TITANIC_EXP_BOTTLE,280000.9,290990.3,5413,10546,124141,50264,1.47,10989.4,3.9,1.95
1638907359,TITANIC_EXP_BOTTLE,280000.9,290990.3,5413,10546,124141,50264,1.47,10989.4,3.9,1.95
1638907396,TITANIC_EXP_BOTTLE,280000.9,290990.6,5412,10545,124145,50265,1.47,10989.7,3.9,1.95
1638907404,TITANIC_EXP_BOTTLE,280000.9,290990.6,5412,10545,124145,50265,1.47,10989.7,3.9,1.95
1638907415,TITANIC_EXP_BOTTLE,280000.9,290990.5,5406,10545,124151,50265,1.47,10989.6,3.9,1.95
1638907521,TITANIC_EXP_BOTTLE,280001.0,290990.4,5408,10578,124171,50265,1.47,10989.4,3.9,1.96
1638907532,TITANIC_EXP_BOTTLE,280001.0,290990.4,5408,10578,124171,50265,1.47,10989.4,3.9,1.96
1638907545,TITANIC_EXP_BOTTLE,280000.6,290990.3,5403,10572,124177,50271,1.47,10989.7,3.9,1.96
1638907557,TITANIC_EXP_BOTTLE,280000.6,290990.3,5405,10376,124180,50271,1.44,10989.7,3.9,1.92
1638907570,TITANIC_EXP_BOTTLE,280000.6,290990.1,5406,10376,124181,50271,1.44,10989.5,3.9,1.92
1638907607,TITANIC_EXP_BOTTLE,280000.7,290990.1,5466,10376,124192,50271,1.44,10989.4,3.9,1.9
1638907625,TITANIC_EXP_BOTTLE,280000.7,290990.1,5459,10373,124196,50275,1.44,10989.4,3.9,1.9
