UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,TITANIUM_ORE,41.3,52.4,249303,3417154,937375,40719271,0.59,11.1,26.9,13.71
1638903006,TITANIUM_ORE,41.4,51.3,249381,3625147,937375,40721278,0.62,9.9,23.9,14.54
1638903006,TITANIUM_ORE,41.4,51.3,249381,3625147,937375,40721278,0.62,9.9,23.9,14.54
1638903057,TITANIUM_ORE,41.5,51.3,249221,3630153,937375,40721672,0.62,9.8,23.6,14.57
1638903086,TITANIUM_ORE,41.5,52.4,249221,3629829,937375,40721996,0.62,10.9,26.3,14.56
1638903086,TITANIUM_ORE,41.5,52.4,249221,3629829,937375,40721996,0.62,10.9,26.3,14.56
1638903086,TITANIUM_ORE,41.5,52.4,249221,3629829,937375,40721996,0.62,10.9,26.3,14.56
1638903086,TITANIUM_ORE,41.5,52.4,249221,3629829,937375,40721996,0.62,10.9,26.3,14.56
1638903226,TITANIUM_ORE,41.4,52.7,248810,3606284,937786,40745541,0.62,11.3,27.3,14.49
1638903233,TITANIUM_ORE,41.4,52.7,248810,3606284,937786,40745541,0.62,11.3,27.3,14.49
1638903240,TITANIUM_ORE,41.4,52.7,248746,3605670,937850,40746155,0.62,11.3,27.3,14.5
1638903248,TITANIUM_ORE,41.4,52.7,248746,3605670,937850,40746155,0.62,11.3,27.3,14.5
1638903855,TITANIUM_ORE,41.4,52.6,248857,3518802,938347,40833623,0.6,11.2,27.1,14.14
1638904100,TITANIUM_ORE,41.4,52.6,247340,3512314,938527,40840246,0.6,11.2,27.1,14.2
1638904100,TITANIUM_ORE,41.4,52.6,247340,3512314,938527,40840246,0.6,11.2,27.1,14.2
1638904100,TITANIUM_ORE,41.4,52.6,247340,3512314,938527,40840246,0.6,11.2,27.1,14.2
1638904189,TITANIUM_ORE,41.4,52.5,247597,3508782,938527,40843778,0.6,11.1,26.8,14.17
1638904196,TITANIUM_ORE,41.4,52.5,247597,3508782,938527,40843778,0.6,11.1,26.8,14.17
1638905497,TITANIUM_ORE,41.4,52.9,246656,3439081,939594,40913511,0.59,11.5,27.800000000000004,13.94
1638905504,TITANIUM_ORE,41.4,52.9,246656,3439081,939594,40913511,0.59,11.5,27.800000000000004,13.94
1638906506,TITANIUM_ORE,41.4,52.6,248703,3431103,940250,41016209,0.59,11.2,27.1,13.8
1638906538,TITANIUM_ORE,41.4,52.6,248703,3426625,940250,41020687,0.58,11.2,27.1,13.78
1638906598,TITANIUM_ORE,41.4,52.4,249363,3416153,940250,41031159,0.58,11.0,26.6,13.7
1638906612,TITANIUM_ORE,41.4,52.4,249363,3416153,940250,41031159,0.58,11.0,26.6,13.7
1638906620,TITANIUM_ORE,41.4,52.4,249363,3416153,940250,41031159,0.58,11.0,26.6,13.7
1638906646,TITANIUM_ORE,41.4,52.4,249263,3415658,940350,41031654,0.58,11.0,26.6,13.7
1638906653,TITANIUM_ORE,41.4,52.4,249263,3415658,940350,41031654,0.58,11.0,26.6,13.7
1638906660,TITANIUM_ORE,41.4,52.4,249263,3415474,940350,41031838,0.58,11.0,26.6,13.7
1638906889,TITANIUM_ORE,41.4,51.2,249331,3408320,940350,41038993,0.58,9.8,23.7,13.67
1638906898,TITANIUM_ORE,41.4,51.2,249331,3408156,940350,41039157,0.58,9.8,23.7,13.67
1638906939,TITANIUM_ORE,41.4,51.2,249327,3407840,940350,41039473,0.58,9.8,23.7,13.67
1638906980,TITANIUM_ORE,41.4,51.2,249327,3399794,940350,41047519,0.58,9.8,23.7,13.64
1638907080,TITANIUM_ORE,41.4,51.2,249327,3399412,940350,41047901,0.58,9.8,23.7,13.63
1638907129,TITANIUM_ORE,41.4,51.2,249327,3397947,940350,41049366,0.58,9.8,23.7,13.63
1638907209,TITANIUM_ORE,41.3,51.1,249367,3393173,940350,41054140,0.58,9.8,23.7,13.61
1638907229,TITANIUM_ORE,41.3,51.1,249367,3376912,940350,41070401,0.58,9.8,23.7,13.54
1638907265,TITANIUM_ORE,41.3,51.1,249367,3376904,940350,41070409,0.58,9.8,23.7,13.54
1638907280,TITANIUM_ORE,41.3,51.1,249367,3376544,940350,41070769,0.58,9.8,23.7,13.54
1638907311,TITANIUM_ORE,41.3,51.2,249367,3376122,940350,41071191,0.58,9.9,24.0,13.54
1638907322,TITANIUM_ORE,41.3,51.1,249367,3376114,940350,41071199,0.58,9.8,23.7,13.54
1638907346,TITANIUM_ORE,41.3,51.1,249407,3375588,940350,41071725,0.58,9.8,23.7,13.53
1638907359,TITANIUM_ORE,41.3,51.1,249407,3375588,940350,41071725,0.58,9.8,23.7,13.53
1638907396,TITANIUM_ORE,41.3,52.4,249259,3375090,940458,41072223,0.58,11.1,26.9,13.54
1638907404,TITANIUM_ORE,41.3,52.4,249259,3375090,940458,41072223,0.58,11.1,26.9,13.54
1638907415,TITANIUM_ORE,41.3,52.4,249258,3373967,940459,41073646,0.58,11.1,26.9,13.54
1638907521,TITANIUM_ORE,41.3,52.3,249206,3373559,940559,41074054,0.57,11.0,26.6,13.54
1638907532,TITANIUM_ORE,41.3,52.3,249206,3373559,940559,41074054,0.57,11.0,26.6,13.54
1638907545,TITANIUM_ORE,41.3,52.3,249206,3373559,940559,41074054,0.57,11.0,26.6,13.54
1638907557,TITANIUM_ORE,41.3,52.3,249206,3373559,940559,41074054,0.57,11.0,26.6,13.54
1638907570,TITANIUM_ORE,41.3,52.3,249206,3373559,940559,41074054,0.57,11.0,26.6,13.54
1638907607,TITANIUM_ORE,41.3,52.2,249206,3373125,940559,41074488,0.57,10.9,26.4,13.54
1638907625,TITANIUM_ORE,41.3,52.2,249394,3373037,940559,41074576,0.57,10.9,26.4,13.52
1638907672,TITANIUM_ORE,41.3,52.2,249394,3373013,940559,41074600,0.57,10.9,26.400000000000002,13.52
