UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,TREASURITE,13753.4,16988.3,79440,54570,66004,92578,4.13,3234.9,23.5,-1.46
1638903006,TREASURITE,13753.4,16988.2,79441,54565,66004,92583,4.13,3234.8,23.5,-1.46
1638903006,TREASURITE,13753.4,16988.2,79441,54565,66004,92583,4.13,3234.8,23.5,-1.46
1638903057,TREASURITE,13753.4,16988.2,79441,54561,66004,92587,4.13,3234.8,23.5,-1.46
1638903086,TREASURITE,13753.4,16988.2,79441,54561,66004,92587,4.13,3234.8,23.5,-1.46
1638903086,TREASURITE,13753.4,16988.2,79441,54561,66004,92587,4.13,3234.8,23.5,-1.46
1638903086,TREASURITE,13753.4,16988.2,79441,54561,66004,92587,4.13,3234.8,23.5,-1.46
1638903086,TREASURITE,13753.4,16988.2,79441,54561,66004,92587,4.13,3234.8,23.5,-1.46
1638903226,TREASURITE,13753.4,16988.2,79506,54621,66004,92612,4.13,3234.8,23.5,-1.46
1638903233,TREASURITE,13753.4,16988.2,79506,54621,66004,92612,4.13,3234.8,23.5,-1.46
1638903240,TREASURITE,13753.4,16988.2,79506,54619,66004,92614,4.13,3234.8,23.5,-1.46
1638903248,TREASURITE,13753.4,16988.2,79506,54619,66004,92614,4.13,3234.8,23.5,-1.46
1638903855,TREASURITE,13753.4,16987.9,79553,54513,66025,92720,4.12,3234.5,23.5,-1.46
1638904100,TREASURITE,13753.4,16988.2,79479,54593,66099,92801,4.12,3234.8,23.5,-1.46
1638904100,TREASURITE,13753.4,16988.2,79479,54593,66099,92801,4.12,3234.8,23.5,-1.46
1638904100,TREASURITE,13753.4,16988.2,79479,54593,66099,92801,4.12,3234.8,23.5,-1.46
1638904189,TREASURITE,13753.4,16988.1,79893,54569,66099,92825,4.12,3234.7,23.5,-1.46
1638904196,TREASURITE,13753.4,16988.1,79893,54569,66099,92825,4.12,3234.7,23.5,-1.46
1638905497,TREASURITE,13753.3,16987.5,79530,54361,66120,93066,4.09,3234.2,23.5,-1.46
1638905504,TREASURITE,13753.3,16987.5,79530,54361,66120,93066,4.09,3234.2,23.5,-1.46
1638906506,TREASURITE,13753.3,16987.2,80370,54193,66149,93234,4.07,3233.9,23.5,-1.48
1638906538,TREASURITE,13753.3,16987.1,80465,54191,66149,93236,4.07,3233.8,23.5,-1.48
1638906598,TREASURITE,13753.3,16987.1,80465,54129,66149,93298,4.06,3233.8,23.5,-1.49
1638906612,TREASURITE,13753.3,16987.1,80465,54129,66149,93298,4.06,3233.8,23.5,-1.49
1638906620,TREASURITE,13753.3,16987.1,80465,54129,66149,93298,4.06,3233.8,23.5,-1.49
1638906646,TREASURITE,13753.3,16987.1,80465,54097,66149,93330,4.06,3233.8,23.5,-1.49
1638906653,TREASURITE,13753.3,16987.1,80465,54096,66149,93331,4.06,3233.8,23.5,-1.49
1638906660,TREASURITE,13753.3,16987.1,80465,54095,66149,93332,4.06,3233.8,23.5,-1.49
1638906889,TREASURITE,13753.3,16987.1,80465,54075,66149,93352,4.05,3233.8,23.5,-1.49
1638906898,TREASURITE,13753.3,16987.1,80465,54075,66149,93352,4.05,3233.8,23.5,-1.49
1638906939,TREASURITE,13753.3,16987.1,80465,54072,66149,93355,4.05,3233.8,23.5,-1.49
1638906980,TREASURITE,13753.3,16987.1,80465,54062,66149,93365,4.05,3233.8,23.5,-1.49
1638907080,TREASURITE,13753.3,16987.1,80465,54025,66149,93402,4.05,3233.8,23.5,-1.49
1638907129,TREASURITE,13753.3,16987.1,80465,54017,66149,93410,4.05,3233.8,23.5,-1.49
1638907209,TREASURITE,13753.4,16986.9,80566,54048,66149,93429,4.05,3233.5,23.5,-1.49
1638907229,TREASURITE,13753.4,16986.8,80566,54043,66149,93434,4.05,3233.4,23.5,-1.49
1638907265,TREASURITE,13753.4,16986.8,80622,54040,66149,93437,4.05,3233.4,23.5,-1.49
1638907280,TREASURITE,13753.4,16986.8,80622,54040,66149,93437,4.05,3233.4,23.5,-1.49
1638907311,TREASURITE,13753.4,16986.8,80622,54040,66149,93437,4.05,3233.4,23.5,-1.49
1638907322,TREASURITE,13753.4,16986.8,80622,54040,66149,93437,4.05,3233.4,23.5,-1.49
1638907346,TREASURITE,13753.4,16986.8,80622,54031,66149,93446,4.05,3233.4,23.5,-1.49
1638907359,TREASURITE,13753.4,16986.8,80622,54031,66149,93446,4.05,3233.4,23.5,-1.49
1638907396,TREASURITE,13753.4,16986.8,80622,54023,66149,93454,4.05,3233.4,23.5,-1.49
1638907404,TREASURITE,13753.4,16986.8,80622,54023,66149,93454,4.05,3233.4,23.5,-1.49
1638907415,TREASURITE,13753.4,16986.8,80622,54016,66149,93461,4.05,3233.4,23.5,-1.49
1638907521,TREASURITE,13753.4,16986.8,80622,54006,66149,93471,4.04,3233.4,23.5,-1.49
1638907532,TREASURITE,13753.4,16986.8,80622,54006,66149,93471,4.04,3233.4,23.5,-1.49
1638907545,TREASURITE,13753.3,16986.8,80622,54005,66149,93472,4.04,3233.5,23.5,-1.49
1638907557,TREASURITE,13753.3,16986.7,80622,53999,66149,93478,4.04,3233.4,23.5,-1.49
1638907570,TREASURITE,13753.3,16986.6,80672,53989,66149,93489,4.04,3233.3,23.5,-1.49
1638907607,TREASURITE,13753.3,16986.6,80673,53988,66149,93490,4.04,3233.3,23.5,-1.49
1638907625,TREASURITE,13753.3,16986.7,80673,53988,66149,93490,4.04,3233.4,23.5,-1.49
1638907672,TREASURITE,13753.3,16986.6,81040,53985,66159,93493,4.04,3233.3,23.5,-1.5
