UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WATER_LILY,146.7,197.2,142944,1665609,1356818,13515830,0.86,50.5,34.4,11.65
1638903006,WATER_LILY,146.7,197.2,144464,1665184,1356818,13516255,0.86,50.5,34.4,11.53
1638903006,WATER_LILY,146.7,197.2,144464,1665184,1356818,13516255,0.86,50.5,34.4,11.53
1638903057,WATER_LILY,146.7,197.2,144464,1664960,1356818,13516479,0.86,50.5,34.4,11.53
1638903086,WATER_LILY,146.7,197.2,144464,1664955,1356818,13516484,0.86,50.5,34.4,11.53
1638903086,WATER_LILY,146.7,197.2,144464,1664955,1356818,13516484,0.86,50.5,34.4,11.53
1638903086,WATER_LILY,146.7,197.2,144464,1664955,1356818,13516484,0.86,50.5,34.4,11.53
1638903086,WATER_LILY,146.7,197.2,144464,1664955,1356818,13516484,0.86,50.5,34.4,11.53
1638903226,WATER_LILY,147.0,197.2,144464,1950602,1356818,13517557,1.01,50.2,34.1,13.5
1638903233,WATER_LILY,147.0,197.2,144464,1950602,1356818,13517557,1.01,50.2,34.1,13.5
1638903240,WATER_LILY,147.0,197.2,144464,1950524,1356818,13517635,1.01,50.2,34.1,13.5
1638903248,WATER_LILY,147.0,197.2,144464,1950524,1356818,13517635,1.01,50.2,34.1,13.5
1638903855,WATER_LILY,147.1,197.1,144852,1940748,1356818,13528435,1.0,50.0,34.0,13.4
1638904100,WATER_LILY,147.1,197.0,144793,1940721,1357011,13530552,1.0,49.9,33.900000000000006,13.4
1638904100,WATER_LILY,147.1,197.0,144793,1940721,1357011,13530552,1.0,49.9,33.900000000000006,13.4
1638904100,WATER_LILY,147.1,197.0,144793,1940721,1357011,13530552,1.0,49.9,33.900000000000006,13.4
1638904189,WATER_LILY,147.0,197.0,146883,1935261,1357012,13536012,1.0,50.0,34.0,13.18
1638904196,WATER_LILY,147.0,197.0,146883,1935261,1357012,13536012,1.0,50.0,34.0,13.18
1638905497,WATER_LILY,146.8,196.5,145034,1937917,1359078,13577074,1.0,49.7,33.900000000000006,13.36
1638905504,WATER_LILY,146.8,196.5,145034,1937917,1359078,13577074,1.0,49.7,33.900000000000006,13.36
1638906506,WATER_LILY,147.0,195.8,152435,2063451,1359248,13594900,1.06,48.8,33.2,13.54
1638906538,WATER_LILY,147.1,195.8,152435,2063400,1359248,13594951,1.06,48.7,33.1,13.54
1638906598,WATER_LILY,147.1,195.8,152435,2083180,1359248,13597443,1.07,48.7,33.1,13.67
1638906612,WATER_LILY,147.1,195.8,152435,2083180,1359248,13597443,1.07,48.7,33.1,13.67
1638906620,WATER_LILY,147.1,195.8,152435,2083180,1359248,13597443,1.07,48.7,33.1,13.67
1638906646,WATER_LILY,147.1,195.8,152435,2083026,1359248,13597597,1.07,48.7,33.1,13.67
1638906653,WATER_LILY,147.1,195.7,152435,2083005,1359248,13597618,1.07,48.6,33.0,13.66
1638906660,WATER_LILY,147.1,195.7,152464,2082973,1359248,13597650,1.07,48.6,33.0,13.66
1638906889,WATER_LILY,147.1,195.6,153790,2077381,1359248,13603242,1.07,48.5,33.0,13.51
1638906898,WATER_LILY,147.1,195.6,153790,2077381,1359248,13603242,1.07,48.5,33.0,13.51
1638906939,WATER_LILY,147.1,195.6,153790,2076899,1359248,13603724,1.07,48.5,33.0,13.5
1638906980,WATER_LILY,147.1,195.5,155191,2076748,1359248,13603875,1.07,48.4,32.9,13.38
1638907080,WATER_LILY,147.2,195.5,155191,2076676,1359248,13604971,1.07,48.3,32.800000000000004,13.38
1638907129,WATER_LILY,147.1,195.5,154535,2074582,1359904,13607065,1.07,48.4,32.9,13.42
1638907209,WATER_LILY,147.1,195.4,154538,2074216,1359904,13607431,1.07,48.3,32.800000000000004,13.42
1638907229,WATER_LILY,147.1,195.3,155562,2074042,1359904,13607605,1.07,48.2,32.800000000000004,13.33
1638907265,WATER_LILY,147.1,195.3,155562,2074039,1359904,13607608,1.07,48.2,32.800000000000004,13.33
1638907280,WATER_LILY,147.1,195.3,155562,2073931,1359904,13607716,1.07,48.2,32.800000000000004,13.33
1638907311,WATER_LILY,147.1,195.3,155434,2073495,1360032,13608152,1.07,48.2,32.800000000000004,13.34
1638907322,WATER_LILY,147.1,195.3,155434,2073403,1360032,13608244,1.07,48.2,32.800000000000004,13.34
1638907346,WATER_LILY,147.1,195.3,155434,2072244,1360032,13609403,1.07,48.2,32.800000000000004,13.33
1638907359,WATER_LILY,147.1,195.3,155434,2072244,1360032,13609403,1.07,48.2,32.800000000000004,13.33
1638907396,WATER_LILY,147.1,195.3,155434,2071812,1360032,13609835,1.07,48.2,32.800000000000004,13.33
1638907404,WATER_LILY,147.1,195.3,155434,2071812,1360032,13609835,1.07,48.2,32.800000000000004,13.33
1638907415,WATER_LILY,147.1,195.3,155434,2071041,1360032,13610606,1.07,48.2,32.800000000000004,13.32
1638907521,WATER_LILY,147.1,195.3,155434,2069370,1360032,13612277,1.06,48.2,32.800000000000004,13.31
1638907532,WATER_LILY,147.1,195.3,155434,2069370,1360032,13612277,1.06,48.2,32.800000000000004,13.31
