UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WEREWOLF_SKIN,27652.0,34999.8,9809,71510,35901,35739,14.01,7347.8,26.6,7.29
1638903006,WEREWOLF_SKIN,27652.0,34999.8,9809,71510,35901,35739,14.01,7347.8,26.6,7.29
1638903006,WEREWOLF_SKIN,27652.0,34999.8,9809,71510,35901,35739,14.01,7347.8,26.6,7.29
1638903057,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35739,14.01,7347.8,26.6,7.29
1638903086,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903086,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903086,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903086,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903226,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903233,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903240,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903248,WEREWOLF_SKIN,27652.1,34999.9,9809,71510,35901,35759,14.0,7347.8,26.6,7.29
1638903855,WEREWOLF_SKIN,27652.1,34999.9,9734,71510,35956,35759,14.0,7347.8,26.6,7.35
1638904100,WEREWOLF_SKIN,27652.1,34999.9,9665,71510,36025,35759,14.0,7347.8,26.6,7.4
1638904100,WEREWOLF_SKIN,27652.1,34999.9,9665,71510,36025,35759,14.0,7347.8,26.6,7.4
1638904100,WEREWOLF_SKIN,27652.1,34999.9,9665,71510,36025,35759,14.0,7347.8,26.6,7.4
1638904189,WEREWOLF_SKIN,27652.1,34999.9,9665,71510,36025,35759,14.0,7347.8,26.6,7.4
1638904196,WEREWOLF_SKIN,27652.1,34999.9,9665,71510,36025,35759,14.0,7347.8,26.6,7.4
1638905497,WEREWOLF_SKIN,27652.3,34999.8,9568,72540,36140,35759,14.2,7347.5,26.6,7.58
1638905504,WEREWOLF_SKIN,27652.3,34999.8,9568,72540,36140,35759,14.2,7347.5,26.6,7.58
