UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WHALE_BAIT,2218.5,2588.7,877728,933534,2645880,1297508,5.04,370.2,16.7,1.06
1638903006,WHALE_BAIT,2218.6,2588.5,881056,934183,2646008,1297524,5.04,369.9,16.7,1.06
1638903006,WHALE_BAIT,2218.6,2588.5,881056,934183,2646008,1297524,5.04,369.9,16.7,1.06
1638903057,WHALE_BAIT,2218.7,2551.5,881072,934183,2646008,1297524,5.04,332.8,15.0,1.06
1638903086,WHALE_BAIT,2218.7,2588.5,881072,938183,2646008,1297524,5.06,369.8,16.7,1.06
1638903086,WHALE_BAIT,2218.7,2588.5,881072,938183,2646008,1297524,5.06,369.8,16.7,1.06
1638903086,WHALE_BAIT,2218.7,2588.5,881072,938183,2646008,1297524,5.06,369.8,16.7,1.06
1638903086,WHALE_BAIT,2218.7,2588.5,881072,938183,2646008,1297524,5.06,369.8,16.7,1.06
1638903226,WHALE_BAIT,2218.7,2588.4,880768,938156,2646392,1297551,5.06,369.7,16.7,1.07
1638903233,WHALE_BAIT,2218.7,2588.4,880768,938156,2646392,1297551,5.06,369.7,16.7,1.07
1638903240,WHALE_BAIT,2218.8,2588.3,880832,938156,2646392,1297551,5.06,369.5,16.7,1.07
1638903248,WHALE_BAIT,2218.8,2588.3,880832,938156,2646392,1297551,5.06,369.5,16.7,1.07
1638903855,WHALE_BAIT,2219.0,2550.5,886715,957098,2647008,1298718,5.16,331.5,14.9,1.08
1638904100,WHALE_BAIT,2219.2,2550.6,886506,962930,2647264,1298910,5.19,331.4,14.9,1.09
1638904100,WHALE_BAIT,2219.2,2550.6,886506,962930,2647264,1298910,5.19,331.4,14.9,1.09
1638904100,WHALE_BAIT,2219.2,2550.6,886506,962930,2647264,1298910,5.19,331.4,14.9,1.09
1638904189,WHALE_BAIT,2219.2,2550.6,886058,962339,2647712,1299501,5.18,331.4,14.9,1.09
1638904196,WHALE_BAIT,2219.2,2550.6,886058,962339,2647712,1299501,5.18,331.4,14.9,1.09
1638905497,WHALE_BAIT,2197.0,2487.1,895273,938840,2656715,1313870,5.0,290.1,13.2,1.05
