UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WHEAT,3.2,3.8,573785,6210358,6551531,64182702,0.68,0.6,18.7,10.82
1638903006,WHEAT,3.2,3.8,574553,6206913,6551531,64186147,0.68,0.6,18.7,10.8
1638903006,WHEAT,3.2,3.8,574553,6206913,6551531,64186147,0.68,0.6,18.7,10.8
1638903057,WHEAT,3.2,4.0,573401,6203784,6552683,64189276,0.68,0.8,25.0,10.82
1638903086,WHEAT,3.2,4.0,574747,6199601,6552747,64193459,0.68,0.8,25.0,10.79
1638903086,WHEAT,3.2,4.0,574747,6199601,6552747,64193459,0.68,0.8,25.0,10.79
1638903086,WHEAT,3.2,4.0,574747,6199601,6552747,64193459,0.68,0.8,25.0,10.79
1638903086,WHEAT,3.2,4.0,574747,6199601,6552747,64193459,0.68,0.8,25.0,10.79
1638903226,WHEAT,3.2,3.9,574755,6190693,6552747,64202367,0.67,0.7,21.9,10.77
1638903233,WHEAT,3.2,3.9,574755,6190693,6552747,64202367,0.67,0.7,21.9,10.77
1638903240,WHEAT,3.2,3.9,574755,6189810,6552747,64203250,0.67,0.7,21.9,10.77
1638903248,WHEAT,3.2,3.9,574755,6189810,6552747,64203250,0.67,0.7,21.9,10.77
1638903855,WHEAT,3.1,4.0,573836,6162533,6554428,64231551,0.67,0.9,29.0,10.74
1638904100,WHEAT,3.1,4.0,573835,6147973,6554429,64246111,0.67,0.9,29.0,10.71
1638904100,WHEAT,3.1,4.0,573835,6147973,6554429,64246111,0.67,0.9,29.0,10.71
1638904100,WHEAT,3.1,4.0,573835,6147973,6554429,64246111,0.67,0.9,29.0,10.71
1638904189,WHEAT,3.0,4.0,571787,6136557,6556477,64257527,0.67,1.0,33.300000000000004,10.73
1638904196,WHEAT,3.0,4.0,571787,6136557,6556477,64257527,0.67,1.0,33.300000000000004,10.73
1638905497,WHEAT,2.9,3.8,565642,6052678,6380062,61900475,0.68,0.9,31.0,10.7
1638905504,WHEAT,2.9,3.8,565642,6052678,6380062,61900475,0.68,0.9,31.0,10.7
1638906506,WHEAT,2.9,5.6,492243,6046433,6391537,61976720,0.68,2.7,93.1,12.28
1638906538,WHEAT,2.9,5.6,492243,6045919,6391537,61977234,0.68,2.7,93.1,12.28
1638906598,WHEAT,2.9,5.6,494355,6112447,6391537,61982386,0.69,2.7,93.1,12.36
1638906612,WHEAT,2.9,5.6,494355,6039548,6391537,61983605,0.68,2.7,93.1,12.22
1638906620,WHEAT,2.9,5.6,494355,6039548,6391537,61983605,0.68,2.7,93.1,12.22
1638906646,WHEAT,2.9,5.6,496467,6042294,6391537,61984859,0.68,2.7,93.1,12.17
1638906653,WHEAT,2.9,5.6,496467,6042292,6391537,61984861,0.68,2.7,93.1,12.17
1638906660,WHEAT,2.9,5.6,496467,6041713,6391537,61985440,0.68,2.7,93.1,12.17
1638906889,WHEAT,2.8,5.5,505659,6023887,6392113,62004290,0.68,2.7,96.4,11.91
1638906898,WHEAT,2.8,5.5,505659,6022671,6392113,62005506,0.68,2.7,96.4,11.91
1638906939,WHEAT,2.8,5.5,505658,6021035,6392114,62007142,0.68,2.7,96.4,11.91
1638906980,WHEAT,2.8,5.0,506234,6017901,6392178,62010276,0.68,2.2,78.60000000000001,11.89
1638907080,WHEAT,2.9,4.9,507665,6227767,6392568,62015450,0.7,2.0,69.0,12.27
1638907129,WHEAT,2.9,5.4,505873,6512070,6394360,62017867,0.74,2.5,86.2,12.87
1638907209,WHEAT,2.9,5.4,505873,6797454,6394360,62020227,0.77,2.5,86.2,13.44
1638907229,WHEAT,2.9,5.3,506493,6864733,6394360,62024628,0.77,2.4,82.8,13.55
1638907265,WHEAT,3.0,5.3,506493,6873990,6394360,62027099,0.78,2.3,76.7,13.57
1638907280,WHEAT,3.0,5.3,506493,6873990,6394360,62027099,0.78,2.3,76.7,13.57
1638907311,WHEAT,3.0,5.3,505470,7012336,6394360,62032113,0.79,2.3,76.7,13.87
1638907322,WHEAT,3.0,5.3,505470,7012331,6394360,62032118,0.79,2.3,76.7,13.87
1638907346,WHEAT,3.0,5.3,505470,7008724,6394360,62035725,0.79,2.3,76.7,13.87
1638907359,WHEAT,3.0,5.3,505470,7008724,6394360,62035725,0.79,2.3,76.7,13.87
1638907396,WHEAT,2.9,5.6,504510,7007801,6395320,62036648,0.79,2.7,93.1,13.89
1638907404,WHEAT,2.9,5.6,504510,7007801,6395320,62036648,0.79,2.7,93.1,13.89
1638907415,WHEAT,2.9,5.6,503395,7007608,6395432,62036905,0.79,2.7,93.1,13.92
1638907521,WHEAT,3.0,5.5,508963,7003965,6399208,62050548,0.79,2.5,83.3,13.76
1638907532,WHEAT,3.0,5.5,508963,7003965,6399208,62050548,0.79,2.5,83.3,13.76
1638907545,WHEAT,3.0,5.5,508963,7000375,6399208,62054138,0.79,2.5,83.3,13.75
1638907557,WHEAT,3.0,5.4,508963,6999877,6399208,62054636,0.79,2.4,80.0,13.75
1638907570,WHEAT,3.0,5.2,513059,6998964,6399208,62055549,0.79,2.2,73.3,13.64
1638907607,WHEAT,3.0,5.2,515107,6997465,6399208,62057048,0.79,2.2,73.3,13.58
1638907625,WHEAT,3.0,5.1,517155,6996982,6399208,62057531,0.79,2.1,70.0,13.53
1638907672,WHEAT,3.0,4.9,519128,6996194,6399336,62058319,0.79,1.9,63.3,13.48
