UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,WHITE_GIFT,7130.4,7956.7,197551,485406,1052931,1053592,3.23,826.3,11.6,2.46
1638903006,WHITE_GIFT,7130.5,7957.0,197432,485803,1052995,1053595,3.23,826.5,11.6,2.46
1638903006,WHITE_GIFT,7130.5,7957.0,197432,485803,1052995,1053595,3.23,826.5,11.6,2.46
1638903057,WHITE_GIFT,7171.9,7956.9,197432,485957,1052995,1053601,3.23,785.0,10.9,2.46
1638903086,WHITE_GIFT,7171.9,7956.9,197488,485722,1052995,1053602,3.23,785.0,10.9,2.46
1638903086,WHITE_GIFT,7171.9,7956.9,197488,485722,1052995,1053602,3.23,785.0,10.9,2.46
1638903086,WHITE_GIFT,7171.9,7956.9,197488,485722,1052995,1053602,3.23,785.0,10.9,2.46
1638903086,WHITE_GIFT,7171.9,7956.9,197488,485722,1052995,1053602,3.23,785.0,10.9,2.46
1638903226,WHITE_GIFT,7172.1,7956.7,197403,485147,1052995,1053669,3.22,784.6,10.9,2.46
1638903233,WHITE_GIFT,7172.1,7956.7,197403,485147,1052995,1053669,3.22,784.6,10.9,2.46
1638903240,WHITE_GIFT,7172.1,7956.7,197403,485147,1052995,1053669,3.22,784.6,10.9,2.46
1638903248,WHITE_GIFT,7172.1,7956.7,197403,485147,1052995,1053669,3.22,784.6,10.9,2.46
1638903855,WHITE_GIFT,7172.8,7959.7,194112,485119,1054567,1055136,3.22,786.9,11.0,2.5
1638904100,WHITE_GIFT,7173.5,7959.5,193908,485513,1054771,1055179,3.22,786.0,11.0,2.5
1638904100,WHITE_GIFT,7173.5,7959.5,193908,485513,1054771,1055179,3.22,786.0,11.0,2.5
1638904100,WHITE_GIFT,7173.5,7959.5,193908,485513,1054771,1055179,3.22,786.0,11.0,2.5
1638904189,WHITE_GIFT,7173.8,7959.5,189588,485760,1055155,1055202,3.22,785.7,11.0,2.56
1638904196,WHITE_GIFT,7173.8,7959.5,189588,485760,1055155,1055202,3.22,785.7,11.0,2.56
1638905497,WHITE_GIFT,7174.7,7961.7,188253,485397,1054838,1055770,3.22,787.0,11.0,2.58
1638905504,WHITE_GIFT,7174.7,7961.7,188253,485397,1054838,1055770,3.22,787.0,11.0,2.58
1638906506,WHITE_GIFT,7175.8,7961.6,152490,486322,1053100,1055157,3.23,785.8,11.0,3.19
1638906538,WHITE_GIFT,7175.8,7961.9,152316,486086,1053100,1055393,3.22,786.1,11.0,3.19
1638906598,WHITE_GIFT,7176.0,7961.9,151907,486160,1053509,1055414,3.22,785.9,11.0,3.2
1638906612,WHITE_GIFT,7176.0,7961.9,151907,486079,1053509,1055431,3.22,785.9,11.0,3.2
1638906620,WHITE_GIFT,7176.0,7961.9,151907,486079,1053509,1055431,3.22,785.9,11.0,3.2
1638906646,WHITE_GIFT,7176.1,7961.8,153175,486143,1053509,1055431,3.22,785.7,10.9,3.17
1638906653,WHITE_GIFT,7176.1,7961.8,153175,486123,1053509,1055451,3.22,785.7,10.9,3.17
1638906660,WHITE_GIFT,7176.1,7961.8,153175,486122,1053509,1055452,3.22,785.7,10.9,3.17
1638906889,WHITE_GIFT,7176.7,7961.3,153493,488396,1053781,1056147,3.24,784.6,10.9,3.18
1638906898,WHITE_GIFT,7176.7,7961.3,153493,488396,1053781,1056147,3.24,784.6,10.9,3.18
1638906939,WHITE_GIFT,7176.8,7961.2,153493,488381,1053781,1056162,3.24,784.4,10.9,3.18
1638906980,WHITE_GIFT,7176.9,7961.1,153914,488609,1053781,1056190,3.24,784.2,10.9,3.17
