UNIX Time,ID,Top Buy Offer,Top Sell Offer,Sell Volume,Buy Volume,Sell Volume Week,Buy Volume Week,Backlog,Flat Margin,Percent Margin,Sales Ratio
1638902939,YOGGIE,502.8,658.6,235920,104450,196302,275062,2.66,155.8,31.0,-2.26
1638903006,YOGGIE,502.8,658.6,235920,104405,196302,274305,2.66,155.8,31.0,-2.26
1638903006,YOGGIE,502.8,658.6,235920,104405,196302,274305,2.66,155.8,31.0,-2.26
1638903057,YOGGIE,502.9,658.6,235920,119398,196302,274312,3.05,155.7,31.0,-1.98
1638903086,YOGGIE,502.9,658.6,235920,119392,196302,274318,3.05,155.7,31.0,-1.98
1638903086,YOGGIE,502.9,658.6,235920,119392,196302,274318,3.05,155.7,31.0,-1.98
1638903086,YOGGIE,502.9,658.6,235920,119392,196302,274318,3.05,155.7,31.0,-1.98
1638903086,YOGGIE,502.9,658.6,235920,119392,196302,274318,3.05,155.7,31.0,-1.98
1638903226,YOGGIE,502.9,658.5,235814,119336,196402,274374,3.04,155.6,30.9,-1.98
1638903233,YOGGIE,502.9,658.5,235814,119336,196402,274374,3.04,155.6,30.9,-1.98
1638903240,YOGGIE,502.9,658.5,235814,119326,196402,274384,3.04,155.6,30.9,-1.98
1638903248,YOGGIE,502.9,658.5,235814,119326,196402,274384,3.04,155.6,30.9,-1.98
1638903855,YOGGIE,502.9,658.6,235590,119200,196721,274513,3.04,155.7,31.0,-1.98
1638904100,YOGGIE,502.9,658.5,235593,119149,196721,274564,3.04,155.6,30.9,-1.98
1638904100,YOGGIE,502.9,658.5,235593,119149,196721,274564,3.04,155.6,30.9,-1.98
1638904100,YOGGIE,502.9,658.5,235593,119149,196721,274564,3.04,155.6,30.9,-1.98
1638904189,YOGGIE,502.9,658.5,235593,119145,196721,274568,3.04,155.6,30.9,-1.98
1638904196,YOGGIE,502.9,658.5,235593,119145,196721,274568,3.04,155.6,30.9,-1.98
1638905497,YOGGIE,503.2,628.9,235397,119307,197380,274903,3.04,125.7,25.0,-1.97
1638905504,YOGGIE,503.2,628.9,235397,119307,197380,274903,3.04,125.7,25.0,-1.97
1638906506,YOGGIE,502.9,658.4,234994,118924,197978,275223,3.02,155.5,30.9,-1.98
1638906538,YOGGIE,502.9,658.4,234994,118920,197978,275227,3.02,155.5,30.9,-1.98
1638906598,YOGGIE,502.9,658.3,234995,118910,197978,275237,3.02,155.4,30.9,-1.98
1638906612,YOGGIE,502.9,658.3,234995,118909,197978,275238,3.02,155.4,30.9,-1.98
1638906620,YOGGIE,502.9,658.3,234995,118909,197978,275238,3.02,155.4,30.9,-1.98
1638906646,YOGGIE,502.9,658.3,234995,118898,197978,275249,3.02,155.4,30.9,-1.98
1638906653,YOGGIE,502.9,658.3,234995,118749,197978,275398,3.02,155.4,30.9,-1.98
1638906660,YOGGIE,502.9,658.3,234995,118747,197978,275400,3.02,155.4,30.9,-1.98
1638906889,YOGGIE,502.9,658.5,234890,118679,198091,275468,3.02,155.6,30.9,-1.98
1638906898,YOGGIE,502.9,658.5,234890,118679,198091,275468,3.02,155.6,30.9,-1.98
1638906939,YOGGIE,502.9,658.5,234826,118670,198155,275477,3.02,155.6,30.9,-1.98
1638906980,YOGGIE,502.9,658.5,234826,118655,198155,275492,3.01,155.6,30.9,-1.98
1638907080,YOGGIE,502.9,658.5,234826,118610,198155,275537,3.01,155.6,30.9,-1.98
1638907129,YOGGIE,502.9,658.5,234826,118598,198155,275549,3.01,155.6,30.9,-1.98
1638907209,YOGGIE,502.9,658.5,234826,118581,198155,275566,3.01,155.6,30.9,-1.98
1638907229,YOGGIE,502.9,658.5,234826,118572,198155,275575,3.01,155.6,30.9,-1.98
1638907265,YOGGIE,502.9,658.3,234833,118562,198155,275585,3.01,155.4,30.9,-1.98
1638907280,YOGGIE,502.9,658.3,236571,118562,198155,275585,3.01,155.4,30.9,-2.0
1638907311,YOGGIE,502.9,658.2,237594,118537,198156,275610,3.01,155.3,30.9,-2.0
1638907322,YOGGIE,502.9,658.2,237594,118534,198156,275613,3.01,155.3,30.9,-2.0
1638907346,YOGGIE,503.0,658.2,237594,118593,198156,275615,3.01,155.2,30.9,-2.0
1638907359,YOGGIE,503.0,658.2,237594,118593,198156,275615,3.01,155.2,30.9,-2.0
1638907396,YOGGIE,502.9,658.2,237534,118531,198216,275617,3.01,155.3,30.9,-2.0
1638907404,YOGGIE,502.9,658.2,237534,118531,198216,275617,3.01,155.3,30.9,-2.0
1638907415,YOGGIE,502.9,658.2,237534,118491,198216,275657,3.01,155.3,30.9,-2.0
1638907521,YOGGIE,502.9,658.2,237534,118481,198216,275667,3.01,155.3,30.9,-2.0
1638907532,YOGGIE,502.9,658.2,237534,118481,198216,275667,3.01,155.3,30.9,-2.0
1638907545,YOGGIE,502.9,658.2,237534,118481,198216,275667,3.01,155.3,30.9,-2.0
1638907557,YOGGIE,502.9,658.2,237534,118466,198216,275682,3.01,155.3,30.9,-2.01
1638907570,YOGGIE,502.9,658.2,237534,118466,198216,275682,3.01,155.3,30.9,-2.01
1638907607,YOGGIE,502.9,658.1,237537,118461,198216,275687,3.01,155.2,30.9,-2.01
1638907625,YOGGIE,502.9,658.1,237537,118458,198216,275690,3.01,155.2,30.9,-2.01
1638907672,YOGGIE,502.9,658.1,237537,118450,198216,275698,3.01,155.2,30.9,-2.01
